 ****** Running generation 0 ******
Average fitness:
Failed mean
Population's average fitness: 28.76559 stdev: 12.70761
Best fitness: 53.83332 - size: (6, 15) - species 63 - id 63
Average adjusted fitness: 0.427
Mean genetic distance 3.164, standard deviation 0.322
Population of 300 members in 150 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2     31.5    0.489     0
     2    0     2     40.1    0.685     0
     3    0     2     24.3    0.325     0
     4    0     2     10.3    0.005     0
     5    0     2     26.3    0.370     0
     6    0     2     21.9    0.270     0
     7    0     2     47.3    0.851     0
     8    0     2     12.7    0.059     0
     9    0     2     15.3    0.118     0
    10    0     2     11.7    0.036     0
    11    0     2     38.8    0.656     0
    12    0     2     19.9    0.223     0
    13    0     2     27.3    0.393     0
    14    0     2     27.5    0.399     0
    15    0     2     37.9    0.635     0
    16    0     2     11.4    0.030     0
    17    0     2     42.4    0.740     0
    18    0     2     14.9    0.110     0
    19    0     2     31.4    0.488     0
    20    0     2     43.7    0.767     0
    21    0     2     10.2    0.003     0
    22    0     2     19.4    0.212     0
    23    0     2     33.9    0.544     0
    24    0     2     14.0    0.088     0
    25    0     2     40.2    0.689     0
    26    0     2     11.2    0.024     0
    27    0     2     11.5    0.033     0
    28    0     2     40.2    0.689     0
    29    0     2     40.6    0.697     0
    30    0     2     10.3    0.005     0
    31    0     2     39.5    0.672     0
    32    0     2     38.6    0.652     0
    33    0     2     40.2    0.689     0
    34    0     2     40.2    0.688     0
    35    0     2     19.9    0.225     0
    36    0     2     11.3    0.028     0
    37    0     2     10.3    0.004     0
    38    0     2     42.0    0.730     0
    39    0     2     29.4    0.440     0
    40    0     2     38.3    0.644     0
    41    0     2     40.2    0.689     0
    42    0     2     10.5    0.009     0
    43    0     2     40.2    0.689     0
    44    0     2     40.2    0.689     0
    45    0     2     20.8    0.245     0
    46    0     2     40.2    0.689     0
    47    0     2     40.4    0.694     0
    48    0     2     10.4    0.007     0
    49    0     2     28.2    0.415     0
    50    0     2     37.6    0.628     0
    51    0     2     33.2    0.527     0
    52    0     2     38.4    0.648     0
    53    0     2     47.5    0.856     0
    54    0     2     10.2    0.003     0
    55    0     2     37.2    0.620     0
    56    0     2     40.2    0.689     0
    57    0     2     26.7    0.379     0
    58    0     2     27.3    0.393     0
    59    0     2     40.2    0.689     0
    60    0     2     30.2    0.459     0
    61    0     2     10.1    0.000     0
    62    0     2     40.2    0.689     0
    63    0     2     53.8    1.000     0
    64    0     2     30.7    0.470     0
    65    0     2     40.7    0.700     0
    66    0     2     10.3    0.004     0
    67    0     2     39.5    0.671     0
    68    0     2     29.3    0.439     0
    69    0     2     10.2    0.003     0
    70    0     2     13.3    0.073     0
    71    0     2     16.4    0.143     0
    72    0     2     40.2    0.689     0
    73    0     2     41.8    0.726     0
    74    0     2     40.2    0.689     0
    75    0     2     31.3    0.484     0
    76    0     2     10.2    0.003     0
    77    0     2     40.2    0.689     0
    78    0     2     27.3    0.392     0
    79    0     2     27.8    0.404     0
    80    0     2     36.0    0.592     0
    81    0     2     40.2    0.689     0
    82    0     2     39.4    0.670     0
    83    0     2     40.2    0.689     0
    84    0     2     39.3    0.667     0
    85    0     2     40.2    0.689     0
    86    0     2     28.1    0.413     0
    87    0     2     10.2    0.003     0
    88    0     2     40.3    0.691     0
    89    0     2     25.3    0.347     0
    90    0     2     10.2    0.003     0
    91    0     2     40.2    0.689     0
    92    0     2     10.2    0.002     0
    93    0     2     21.6    0.263     0
    94    0     2     10.2    0.003     0
    95    0     2     40.3    0.690     0
    96    0     2     26.4    0.373     0
    97    0     2     21.2    0.253     0
    98    0     2     10.3    0.005     0
    99    0     2     41.1    0.709     0
   100    0     2     40.0    0.683     0
   101    0     2     10.9    0.018     0
   102    0     2     27.7    0.404     0
   103    0     2     32.9    0.521     0
   104    0     2     10.2    0.003     0
   105    0     2     21.4    0.259     0
   106    0     2     10.2    0.003     0
   107    0     2     27.5    0.399     0
   108    0     2     39.6    0.673     0
   109    0     2     47.8    0.861     0
   110    0     2     27.9    0.406     0
   111    0     2     28.7    0.426     0
   112    0     2     10.4    0.007     0
   113    0     2     27.3    0.393     0
   114    0     2     40.8    0.703     0
   115    0     2     34.2    0.551     0
   116    0     2     10.3    0.005     0
   117    0     2     26.4    0.374     0
   118    0     2     40.2    0.689     0
   119    0     2     40.2    0.689     0
   120    0     2     27.3    0.393     0
   121    0     2     40.1    0.687     0
   122    0     2     42.6    0.743     0
   123    0     2     11.5    0.033     0
   124    0     2     18.0    0.180     0
   125    0     2     10.5    0.009     0
   126    0     2     40.3    0.690     0
   127    0     2     10.3    0.005     0
   128    0     2     40.1    0.685     0
   129    0     2     11.1    0.023     0
   130    0     2     52.2    0.963     0
   131    0     2     40.2    0.689     0
   132    0     2     40.2    0.689     0
   133    0     2     38.7    0.653     0
   134    0     2     40.2    0.689     0
   135    0     2     39.1    0.663     0
   136    0     2     26.9    0.385     0
   137    0     2     40.2    0.689     0
   138    0     2     10.2    0.003     0
   139    0     2     11.7    0.037     0
   140    0     2     10.3    0.005     0
   141    0     2     40.1    0.685     0
   142    0     2     29.1    0.434     0
   143    0     2     10.2    0.003     0
   144    0     2     12.0    0.043     0
   145    0     2     40.1    0.685     0
   146    0     2     40.5    0.694     0
   147    0     2     40.2    0.689     0
   148    0     2     46.9    0.841     0
   149    0     2     15.4    0.122     0
   150    0     2     41.6    0.719     0
Total extinctions: 0
Generation time: 6.754 sec
 ****** Running generation 1 ******
Average fitness:
28.765591507995655
Population's average fitness: 34.15733 stdev: 18.91493
Best fitness: 100.75595 - size: (6, 15) - species 132 - id 132
Average adjusted fitness: 0.265
Mean genetic distance 3.164, standard deviation 0.322
Population of 300 members in 150 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    1     2     24.0    0.135     1
     2    1     2     51.1    0.450     0
     3    1     2     30.1    0.172     0
     4    1     2     11.2    0.007     0
     5    1     2     46.4    0.377     0
     6    1     2     22.4    0.069     0
     7    1     2     98.3    0.705     0
     8    1     2     36.0    0.214     0
     9    1     2     15.4    0.030     0
    10    1     2     11.7    0.015     0
    11    1     2     54.8    0.471     0
    12    1     2     26.8    0.149     0
    13    1     2     41.6    0.340     0
    14    1     2     28.9    0.197     0
    15    1     2     55.7    0.476     0
    16    1     2     49.0    0.222     0
    17    1     2     47.3    0.397     0
    18    1     2     25.8    0.118     0
    19    1     2     68.9    0.457     0
    20    1     2     97.6    0.486     0
    21    1     2     11.5    0.010     0
    22    1     2     29.3    0.185     0
    23    1     2     96.9    0.710     0
    24    1     2     14.1    0.031     0
    25    1     2     47.5    0.207     0
    26    1     2     35.0    0.145     0
    27    1     2     30.1    0.114     0
    28    1     2     50.7    0.448     0
    29    1     2     31.2    0.117     1
    30    1     2     64.3    0.300     0
    31    1     2     39.5    0.279     1
    32    1     2     54.8    0.455     0
    33    1     2     34.2    0.133     1
    34    1     2     32.5    0.246     1
    35    1     2     43.2    0.266     0
    36    1     2     12.0    0.021     0
    37    1     2     26.8    0.093     0
    38    1     2     50.7    0.352     0
    39    1     2     44.0    0.354     0
    40    1     2     50.7    0.387     0
    41    1     2     50.7    0.229     0
    42    1     2     50.7    0.225     0
    43    1     2     36.2    0.285     1
    44    1     2     51.1    0.450     0
    45    1     2     42.6    0.271     0
    46    1     2     50.7    0.225     0
    47    1     2     50.7    0.446     0
    48    1     2     25.8    0.087     0
    49    1     2     43.1    0.182     0
    50    1     2     35.5    0.275     1
    51    1     2     51.0    0.402     0
    52    1     2     51.2    0.430     0
    53    1     2     40.5    0.334     1
    54    1     2     20.3    0.058     0
    55    1     2     44.1    0.188     0
    56    1     2     51.4    0.392     0
    57    1     2     51.0    0.426     0
    58    1     2     40.2    0.331     0
    59    1     2     50.8    0.449     0
    60    1     2     51.1    0.349     0
    61    1     2     77.9    0.375     0
    62    1     2     50.7    0.225     0
    63    1     2     83.2    0.627     0
    64    1     2     51.4    0.354     0
    65    1     2     50.8    0.448     0
    66    1     2     10.4    0.003     0
    67    1     2     59.0    0.439     0
    68    1     2     42.9    0.182     0
    69    1     2     10.3    0.001     0
    70    1     2     21.1    0.075     0
    71    1     2     19.3    0.051     0
    72    1     2     52.5    0.458     0
    73    1     2     51.3    0.416     0
    74    1     2     50.7    0.448     0
    75    1     2     41.4    0.307     0
    76    1     2     32.7    0.124     0
    77    1     2     50.7    0.448     0
    78    1     2     37.6    0.169     0
    79    1     2     41.0    0.336     0
    80    1     2     50.5    0.357     0
    81    1     2     50.7    0.448     0
    82    1     2     51.3    0.437     0
    83    1     2     50.3    0.365     0
    84    1     2     69.7    0.330     0
    85    1     2     51.4    0.452     0
    86    1     2     29.7    0.208     0
    87    1     2     10.3    0.002     0
    88    1     2     47.0    0.344     0
    89    1     2     84.1    0.433     0
    90    1     2     46.3    0.201     0
    91    1     2     50.7    0.337     0
    92    1     2     12.3    0.013     0
    93    1     2     77.1    0.462     0
    94    1     2     16.1    0.034     0
    95    1     2     50.8    0.446     0
