 ****** Running generation 0 ******
Average fitness:
Failed mean
Population's average fitness: 37.17003 stdev: 31.48533
Best fitness: 98.39216 - size: (6, 15) - species 14 - id 14
Average adjusted fitness: 0.358
Mean genetic distance 3.156, standard deviation 0.307
Population of 300 members in 153 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2     82.2    0.830     0
     2    0     2      8.3    0.056     0
     3    0     2     98.3    0.999     0
     4    0     2     98.3    0.999     0
     5    0     2     11.3    0.087     0
     6    0     2     15.6    0.133     0
     7    0     2      8.3    0.056     0
     8    0     2     12.8    0.103     0
     9    0     2     91.1    0.923     0
    10    0     2     98.4    1.000     0
    11    0     2     34.2    0.327     0
    12    0     2     45.2    0.442     0
    13    0     2     10.6    0.080     0
    14    0     2     98.4    1.000     0
    15    0     2     98.4    1.000     0
    16    0     2      8.3    0.056     0
    17    0     2     20.3    0.182     0
    18    0     2     28.1    0.263     0
    19    0     2     11.6    0.090     0
    20    0     2      8.6    0.059     0
    21    0     2     97.9    0.995     0
    22    0     2     30.5    0.289     0
    23    0     2      8.3    0.056     0
    24    0     2     30.3    0.287     0
    25    0     2     26.4    0.245     0
    26    0     2     26.8    0.249     0
    27    0     2      8.5    0.058     0
    28    0     2     27.7    0.259     0
    29    0     2      8.5    0.058     0
    30    0     2     84.0    0.850     0
    31    0     1     30.7    0.290     0
    32    0     2     19.4    0.172     0
    33    0     2     11.3    0.088     0
    34    0     2     30.8    0.291     0
    35    0     2     90.0    0.912     0
    36    0     2     39.5    0.383     0
    37    0     2     18.5    0.163     0
    38    0     2      3.3    0.003     0
    39    0     2     52.3    0.517     0
    40    0     2     65.8    0.658     0
    41    0     2     11.2    0.086     0
    42    0     2      8.3    0.056     0
    43    0     2     25.9    0.240     0
    44    0     2      8.3    0.056     0
    45    0     2     29.7    0.280     0
    46    0     2     44.6    0.437     0
    47    0     2     84.7    0.857     0
    48    0     2      8.5    0.058     0
    49    0     2     74.4    0.748     0
    50    0     2     22.6    0.206     0
    51    0     2      8.3    0.056     0
    52    0     2     15.3    0.130     0
    53    0     2     33.4    0.319     0
    54    0     2     87.7    0.888     0
    55    0     2     96.1    0.976     0
    56    0     2     98.4    1.000     0
    57    0     2     93.3    0.947     0
    58    0     2     69.0    0.692     0
    59    0     2      5.8    0.030     0
    60    0     2     19.4    0.172     0
    61    0     2     30.1    0.284     0
    62    0     2      9.5    0.068     0
    63    0     2     42.2    0.412     0
    64    0     2     18.6    0.164     0
    65    0     2     73.5    0.739     0
    66    0     2      6.3    0.035     0
    67    0     2      9.2    0.065     0
    68    0     2     18.7    0.164     0
    69    0     2      9.2    0.065     0
    70    0     2     15.4    0.130     0
    71    0     2     21.7    0.196     0
    72    0     2     10.0    0.074     0
    73    0     2      8.3    0.056     0
    74    0     2     24.1    0.222     0
    75    0     2     21.4    0.193     0
    76    0     2     17.0    0.147     0
    77    0     2      3.0    0.000     0
    78    0     2     30.5    0.288     0
    79    0     2     20.8    0.187     0
    80    0     2     90.3    0.916     0
    81    0     2     98.3    0.999     0
    82    0     2     98.4    1.000     0
    83    0     2     43.3    0.423     0
    84    0     2     15.1    0.127     0
    85    0     2     22.9    0.208     0
    86    0     2     97.8    0.994     0
    87    0     2     18.4    0.161     0
    88    0     2     98.4    1.000     0
    89    0     2     45.9    0.450     0
    90    0     2     20.4    0.183     0
    91    0     2     11.7    0.092     0
    92    0     2      8.8    0.061     0
    93    0     2     29.7    0.280     0
    94    0     2     98.4    1.000     0
    95    0     2      8.3    0.056     0
    96    0     2     26.0    0.241     0
    97    0     2     30.8    0.292     0
    98    0     2     10.8    0.082     0
    99    0     2     34.7    0.333     0
