 ****** Running generation 0 ******
Average fitness:
Failed mean
Population's average fitness: 2610.44504 stdev: 3322.61966
Best fitness: 10022.42071 - size: (6, 15) - species 125 - id 125
Average adjusted fitness: 0.225
Mean genetic distance 3.188, standard deviation 0.324
Population of 300 members in 151 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2    869.4    0.044     0
     2    0     2    545.8    0.010     0
     3    0     2    509.1    0.006     0
     4    0     2    616.7    0.017     0
     5    0     2    747.1    0.031     0
     6    0     2   1123.8    0.070     0
     7    0     2   9032.5    0.897     0
     8    0     2   8803.1    0.873     0
     9    0     2    539.8    0.009     0
    10    0     2   8838.7    0.876     0
    11    0     2   9780.6    0.975     0
    12    0     2    540.5    0.009     0
    13    0     2    540.1    0.009     0
    14    0     2    905.2    0.047     0
    15    0     2   5062.7    0.482     0
    16    0     2    452.9    0.000     0
    17    0     2   8887.1    0.881     0
    18    0     2   9754.0    0.972     0
    19    0     2    681.0    0.024     0
    20    0     2    839.4    0.040     0
    21    0     2    913.6    0.048     0
    22    0     2    539.8    0.009     0
    23    0     2    560.0    0.011     0
    24    0     2   9780.7    0.975     0
    25    0     2   9293.5    0.924     0
    26    0     2    833.5    0.040     0
    27    0     2    504.8    0.005     0
    28    0     2   9793.9    0.976     0
    29    0     2    539.7    0.009     0
    30    0     2   4085.4    0.380     0
    31    0     2    540.6    0.009     0
    32    0     2   9586.7    0.954     0
    33    0     2   1551.8    0.115     0
    34    0     2   9633.6    0.959     0
    35    0     2   1386.3    0.098     0
    36    0     2   1858.4    0.147     0
    37    0     1   9730.4    0.969     0
    38    0     2   1073.4    0.065     0
    39    0     2    640.3    0.020     0
    40    0     2   3914.5    0.362     0
    41    0     2    701.6    0.026     0
    42    0     2    544.1    0.010     0
    43    0     2   1310.9    0.090     0
    44    0     2    539.7    0.009     0
    45    0     2   8714.1    0.863     0
    46    0     2    539.7    0.009     0
    47    0     2   3869.0    0.357     0
    48    0     2    539.7    0.009     0
    49    0     2    656.8    0.021     0
    50    0     2    554.3    0.011     0
    51    0     2    537.2    0.009     0
    52    0     2    548.9    0.010     0
    53    0     2    722.2    0.028     0
    54    0     2   3908.2    0.361     0
    55    0     2   8397.6    0.830     0
    56    0     2    550.4    0.010     0
    57    0     2    539.7    0.009     0
    58    0     2    660.9    0.022     0
    59    0     2    530.6    0.008     0
    60    0     2    768.1    0.033     0
    61    0     2    539.7    0.009     0
    62    0     2    683.2    0.024     0
    63    0     2   8918.6    0.885     0
    64    0     2   1200.4    0.078     0
    65    0     2    501.5    0.005     0
    66    0     2    796.0    0.036     0
    67    0     2   1843.2    0.145     0
    68    0     2    539.8    0.009     0
    69    0     2    800.6    0.036     0
    70    0     2    538.6    0.009     0
    71    0     2    965.5    0.054     0
    72    0     2    569.0    0.012     0
    73    0     2    546.3    0.010     0
    74    0     2   9661.7    0.962     0
    75    0     2    539.6    0.009     0
    76    0     2   2229.4    0.186     0
    77    0     2   9780.1    0.975     0
    78    0     2    546.0    0.010     0
    79    0     2   9700.4    0.966     0
    80    0     2    539.7    0.009     0
    81    0     2    543.5    0.009     0
    82    0     2    539.8    0.009     0
    83    0     2    619.1    0.017     0
    84    0     2   9625.0    0.958     0
    85    0     2   1127.3    0.070     0
    86    0     2    539.7    0.009     0
    87    0     2    964.8    0.053     0
    88    0     2   2832.5    0.249     0
    89    0     2    807.5    0.037     0
    90    0     2   4221.0    0.394     0
    91    0     2    554.3    0.011     0
    92    0     2    770.1    0.033     0
    93    0     2    527.1    0.008     0
    94    0     2    607.6    0.016     0
    95    0     2   9609.9    0.957     0
    96    0     2    541.7    0.009     0
    97    0     2   2297.7    0.193     0
    98    0     2    539.8    0.009     0
    99    0     2    611.9    0.017     0
   100    0     2    539.7    0.009     0
   101    0     2   3785.9    0.348     0
   102    0     2    539.7    0.009     0
   103    0     2    580.1    0.013     0
   104    0     2    545.7    0.010     0
   105    0     2    539.9    0.009     0
   106    0     2    759.6    0.032     0
   107    0     2   3118.9    0.279     0
   108    0     2   1407.3    0.100     0
   109    0     2    550.8    0.010     0
   110    0     2    549.8    0.010     0
   111    0     2    631.7    0.019     0
   112    0     2    526.5    0.008     0
   113    0     2    741.0    0.030     0
   114    0     2    539.7    0.009     0
   115    0     2   8894.9    0.882     0
   116    0     2   3859.4    0.356     0
   117    0     2    539.8    0.009     0
   118    0     2    526.1    0.008     0
   119    0     2    540.5    0.009     0
   120    0     2    539.7    0.009     0
   121    0     2    541.6    0.009     0
   122    0     2    541.0    0.009     0
   123    0     2    535.2    0.009     0
   124    0     2   9607.6    0.957     0
   125    0     2  10022.4    1.000     0
   126    0     2   5891.6    0.568     0
   127    0     2    830.8    0.039     0
   128    0     2   9781.2    0.975     0
   129    0     2   1176.9    0.076     0
   130    0     2    781.7    0.034     0
   131    0     2   7866.9    0.775     0
   132    0     2    539.7    0.009     0
   133    0     2   7709.9    0.758     0
   134    0     2    841.1    0.041     0
   135    0     2   1496.8    0.109     0
   136    0     2   9780.7    0.975     0
   137    0     2    539.7    0.009     0
   138    0     2   5701.9    0.549     0
   139    0     2    586.3    0.014     0
   140    0     2    513.7    0.006     0
   141    0     2   5587.4    0.537     0
   142    0     2   1066.4    0.064     0
   143    0     2    536.0    0.009     0
   144    0     2   2078.4    0.170     0
   145    0     2    641.9    0.020     0
   146    0     2    703.1    0.026     0
   147    0     2    490.8    0.004     0
   148    0     2   1599.0    0.120     0
   149    0     2    539.4    0.009     0
   150    0     2   2496.6    0.214     0
   151    0     1       --       --     0
Total extinctions: 0
Generation time: 8.140 sec
 ****** Running generation 1 ******
Average fitness:
2610.445041847858
Population's average fitness: 2549.41018 stdev: 3436.47863
Best fitness: 9958.60571 - size: (6, 14) - species 126 - id 273
Average adjusted fitness: 0.255
Mean genetic distance 3.188, standard deviation 0.323
Population of 302 members in 151 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    1     2    710.6    0.298     1
     2    1     2    381.0    0.041     1
     3    1     2    343.2    0.031     1
     4    1     2    536.9    0.053     1
     5    1     2    305.2    0.049     1
     6    1     2    362.4    0.052     1
     7    1     2   7160.6    0.821     1
     8    1     2   5554.4    0.739     1
     9    1     2    361.5    0.033     1
    10    1     2   9003.4    0.929     0
    11    1     2    359.8    0.515     1
    12    1     2    362.3    0.039     1
    13    1     2    361.5    0.032     1
    14    1     2    540.2    0.073     1
    15    1     2   4621.5    0.724     1
    16    1     2    233.8    0.029     1
    17    1     2    957.1    0.500     1
    18    1     2   1607.0    0.536     1
    19    1     2     44.7    0.472     1
    20    1     2     58.1    0.004     1
    21    1     2    554.3    0.061     1
    22    1     2    361.6    0.038     1
    23    1     2    478.4    0.499     1
    24    1     2    397.9    0.517     1
    25    1     2    468.6    0.504     1
    26    1     2   1103.9    0.107     0
    27    1     2    108.1    0.413     1
    28    1     2   9868.9    0.995     0
    29    1     2    361.4    0.032     1
    30    1     2   3678.5    0.436     1
    31    1     2    360.4    0.032     1
    32    1     2    524.4    0.514     1
    33    1     2    437.1    0.100     1
    34    1     2   8030.0    0.895     1
    35    1     2    717.0    0.123     1
    36    1     2    627.9    0.528     1
    37    1     2   9895.3    0.994     0
    38    1     2    250.9    0.043     1
    39    1     2    361.5    0.046     1
    40    1     2    182.9    0.210     1
    41    1     2   1394.6    0.167     0
    42    1     2    375.3    0.473     1
    43    1     2    782.1    0.095     1
    44    1     2    361.5    0.032     1
    45    1     2    920.6    0.487     1
    46    1     2    361.5    0.032     1
