 ****** Running generation 0 ******
Average fitness:
Failed mean
Population's average fitness: 2771.66408 stdev: 3542.00540
Best fitness: 9337.86848 - size: (6, 15) - species 130 - id 130
Average adjusted fitness: 0.297
Mean genetic distance 3.183, standard deviation 0.313
Population of 300 members in 151 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2   5371.9    0.575     0
     2    0     2    669.2    0.072     0
     3    0     2    608.5    0.065     0
     4    0     2     44.4    0.005     0
     5    0     2    278.9    0.030     0
     6    0     2    696.6    0.075     0
     7    0     2    257.8    0.028     0
     8    0     2   9202.3    0.985     0
     9    0     2    790.7    0.085     0
    10    0     2    278.7    0.030     0
    11    0     2    104.2    0.011     0
    12    0     2   6823.8    0.731     0
    13    0     2   9080.9    0.972     0
    14    0     2    677.0    0.072     0
    15    0     2    272.4    0.029     0
    16    0     2   8717.9    0.934     0
    17    0     2   9270.1    0.993     0
    18    0     2    609.1    0.065     0
    19    0     2   1513.2    0.162     0
    20    0     2   1093.6    0.117     0
    21    0     2   1124.0    0.120     0
    22    0     2    278.7    0.030     0
    23    0     2   9150.6    0.980     0
    24    0     2    677.7    0.073     0
    25    0     2    278.7    0.030     0
    26    0     2    378.8    0.041     0
    27    0     2   2834.9    0.304     0
    28    0     2    246.2    0.026     0
    29    0     2    689.4    0.074     0
    30    0     2    652.5    0.070     0
    31    0     2    765.1    0.082     0
    32    0     2    328.0    0.035     0
    33    0     2   3891.7    0.417     0
    34    0     2    586.6    0.063     0
    35    0     2   9056.7    0.970     0
    36    0     2   6161.7    0.660     0
    37    0     2    462.0    0.049     0
    38    0     2    712.8    0.076     0
    39    0     2   1673.2    0.179     0
    40    0     2   2911.2    0.312     0
    41    0     2    278.7    0.030     0
    42    0     2    593.8    0.064     0
    43    0     2    278.3    0.030     0
    44    0     2   4270.1    0.457     0
    45    0     2   9304.9    0.996     0
    46    0     2    267.4    0.029     0
    47    0     2   9322.1    0.998     0
    48    0     2    450.9    0.048     0
    49    0     2    744.7    0.080     0
    50    0     2    661.5    0.071     0
    51    0     2    579.7    0.062     0
    52    0     2    278.7    0.030     0
    53    0     2     28.2    0.003     0
    54    0     2   8515.9    0.912     0
    55    0     2    277.7    0.030     0
    56    0     2   6192.2    0.663     0
    57    0     2    273.9    0.029     0
    58    0     2    713.0    0.076     0
    59    0     2   9255.2    0.991     0
    60    0     2    266.5    0.028     0
    61    0     2    720.0    0.077     0
    62    0     2   9319.2    0.998     0
    63    0     2    381.8    0.041     0
    64    0     2    619.6    0.066     0
    65    0     2    584.2    0.063     0
    66    0     2   3187.6    0.341     0
    67    0     2   2950.7    0.316     0
    68    0     2     95.0    0.010     0
    69    0     2    127.0    0.014     0
    70    0     2    664.0    0.071     0
    71    0     2     10.7    0.001     0
    72    0     2   6159.7    0.660     0
    73    0     2   9331.9    0.999     0
    74    0     2    287.5    0.031     0
    75    0     2    277.7    0.030     0
    76    0     2    278.7    0.030     0
    77    0     2    685.4    0.073     0
    78    0     2    278.6    0.030     0
    79    0     2    370.6    0.040     0
    80    0     2   8576.3    0.918     0
    81    0     2    170.4    0.018     0
    82    0     2    194.0    0.021     0
    83    0     2    719.4    0.077     0
    84    0     2   1356.7    0.145     0
    85    0     2   9282.1    0.994     0
    86    0     2   8123.8    0.870     0
    87    0     2    300.2    0.032     0
    88    0     2    241.6    0.026     0
    89    0     2   8650.2    0.926     0
    90    0     2   4623.3    0.495     0
    91    0     2   1990.1    0.213     0
    92    0     2   9269.6    0.993     0
    93    0     2    438.1    0.047     0
    94    0     2    352.1    0.038     0
    95    0     2    594.2    0.064     0
    96    0     2   9112.7    0.976     0
    97    0     2   7391.8    0.792     0
    98    0     2    278.5    0.030     0
    99    0     2    680.9    0.073     0
   100    0     2    153.2    0.016     0
   101    0     1   9332.9    0.999     0
   102    0     2    225.7    0.024     0
   103    0     2    925.2    0.099     0
   104    0     2    278.7    0.030     0
   105    0     2   1706.4    0.183     0
   106    0     2   8676.6    0.929     0
   107    0     2    266.0    0.028     0
   108    0     2   9328.1    0.999     0
   109    0     2    274.2    0.029     0
   110    0     2   4878.8    0.522     0
   111    0     2   7833.9    0.839     0
   112    0     2    283.3    0.030     0
   113    0     2   7414.7    0.794     0
   114    0     2      0.6    0.000     0
   115    0     2   6418.4    0.687     0
   116    0     2    499.5    0.053     0
   117    0     2   7886.5    0.845     0
   118    0     2    324.8    0.035     0
   119    0     2    689.2    0.074     0
   120    0     2    288.5    0.031     0
   121    0     2    673.4    0.072     0
   122    0     2    277.4    0.030     0
   123    0     2   2005.9    0.215     0
   124    0     2    278.7    0.030     0
   125    0     2   9334.0    1.000     0
   126    0     2    278.6    0.030     0
   127    0     2    278.2    0.030     0
   128    0     2    174.0    0.019     0
   129    0     2    680.8    0.073     0
   130    0     2   9337.9    1.000     0
   131    0     2    558.3    0.060     0
   132    0     2     43.0    0.005     0
   133    0     2   9321.1    0.998     0
   134    0     2   6519.3    0.698     0
   135    0     2    329.2    0.035     0
   136    0     2   9292.1    0.995     0
   137    0     2     36.9    0.004     0
   138    0     2    286.1    0.031     0
   139    0     2    321.0    0.034     0
   140    0     2    485.6    0.052     0
   141    0     2    499.9    0.053     0
   142    0     2    476.6    0.051     0
   143    0     2    278.7    0.030     0
   144    0     2   9320.1    0.998     0
   145    0     2   9055.7    0.970     0
   146    0     2   9327.5    0.999     0
   147    0     2   7149.4    0.766     0
   148    0     2    278.7    0.030     0
   149    0     2     20.2    0.002     0
   150    0     2    695.1    0.074     0
   151    0     1       --       --     0
Total extinctions: 0
Generation time: 23.479 sec
 ****** Running generation 1 ******
Average fitness:
2771.6640802952943
Best fitness:
Traceback (most recent call last):
  File "C:\Projects\Code\Neurals\testing.py", line 191, in <module>
  File "C:\Projects\Code\Neurals\testing.py", line 174, in run
  File "C:\Users\Maxim N\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0\LocalCache\local-packages\Python39\site-packages\neat\population.py", line 89, in run
    fitness_function(list(iteritems(self.population)), self.config)
  File "C:\Projects\Code\Neurals\testing.py", line 112, in eval_genomes
    bestfit = stats.best_genome(3)
TypeError: best_genome() takes 1 positional argument but 2 were given
