 ****** Running generation 0 ******
Average fitness:
Failed mean
Population's average fitness: 2624.35515 stdev: 3482.20272
Best fitness: 9709.85908 - size: (6, 15) - species 123 - id 123
Average adjusted fitness: 0.269
Mean genetic distance 3.149, standard deviation 0.320
Population of 300 members in 153 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2   2267.2    0.232     0
     2    0     2    306.7    0.030     0
     3    0     2    308.1    0.030     0
     4    0     2   7893.3    0.813     0
     5    0     2   9560.3    0.985     0
     6    0     2    682.8    0.069     0
     7    0     2   1078.1    0.110     0
     8    0     2   6901.9    0.710     0
     9    0     2   7790.5    0.802     0
    10    0     2   9559.2    0.984     0
    11    0     2   1707.2    0.175     0
    12    0     2   9539.7    0.982     0
    13    0     2    307.2    0.030     0
    14    0     2    669.7    0.068     0
    15    0     2   8299.5    0.855     0
    16    0     2    308.0    0.030     0
    17    0     2    429.9    0.043     0
    18    0     2    504.7    0.051     0
    19    0     2    344.2    0.034     0
    20    0     2    377.1    0.037     0
    21    0     2    749.6    0.076     0
    22    0     2   9511.1    0.979     0
    23    0     2   9559.0    0.984     0
    24    0     2    304.7    0.030     0
    25    0     2   8944.9    0.921     0
    26    0     2    327.6    0.032     0
    27    0     2    425.1    0.042     0
    28    0     2    348.0    0.034     0
    29    0     2   9573.5    0.986     0
    30    0     2    302.5    0.030     0
    31    0     2   9332.7    0.961     0
    32    0     2   7438.4    0.766     0
    33    0     2    238.7    0.023     0
    34    0     2   1079.5    0.110     0
    35    0     2    308.1    0.030     0
    36    0     2   4061.9    0.417     0
    37    0     2    503.8    0.051     0
    38    0     2    680.2    0.069     0
    39    0     2    863.0    0.088     0
    40    0     2    746.2    0.076     0
    41    0     2    676.8    0.068     0
    42    0     2   2165.8    0.222     0
    43    0     2    308.1    0.030     0
    44    0     2   9086.6    0.936     0
    45    0     2    308.1    0.030     0
    46    0     2    642.8    0.065     0
    47    0     2   4669.2    0.480     0
    48    0     2   2643.6    0.271     0
    49    0     2    306.0    0.030     0
    50    0     2    577.4    0.058     0
    51    0     2   1435.3    0.147     0
    52    0     2     14.0    0.000     0
    53    0     2    783.3    0.079     0
    54    0     2    659.1    0.067     0
    55    0     2    307.6    0.030     0
    56    0     2    900.0    0.091     0
    57    0     2   4855.8    0.499     0
    58    0     2    112.8    0.010     0
    59    0     2   2375.7    0.244     0
    60    0     2    308.1    0.030     0
    61    0     2    302.7    0.030     0
    62    0     1   9449.9    0.973     0
    63    0     2    333.8    0.033     0
    64    0     2    220.0    0.021     0
    65    0     2    306.4    0.030     0
    66    0     2   1600.3    0.164     0
    67    0     2   9556.5    0.984     0
    68    0     2   1581.8    0.162     0
    69    0     2   1804.0    0.185     0
    70    0     2    125.6    0.012     0
    71    0     2    303.1    0.030     0
    72    0     2    987.5    0.100     0
    73    0     2    308.1    0.030     0
    74    0     2    308.3    0.030     0
    75    0     2   9560.8    0.985     0
    76    0     2   1238.2    0.126     0
    77    0     2   2458.8    0.252     0
    78    0     2    391.6    0.039     0
    79    0     2    308.7    0.030     0
    80    0     2   8773.7    0.903     0
    81    0     2   3349.4    0.344     0
    82    0     2   1066.4    0.109     0
    83    0     2    311.7    0.031     0
    84    0     2    313.2    0.031     0
    85    0     2    308.1    0.030     0
    86    0     2    307.9    0.030     0
    87    0     2    307.9    0.030     0
    88    0     2    633.0    0.064     0
    89    0     2   9557.1    0.984     0
    90    0     2    965.7    0.098     0
    91    0     2    513.6    0.052     0
    92    0     2    941.4    0.096     0
    93    0     2   6613.3    0.681     0
    94    0     2    308.1    0.030     0
    95    0     2    278.6    0.027     0
    96    0     2   8291.0    0.854     0
    97    0     2    311.5    0.031     0
    98    0     2   9513.9    0.980     0
    99    0     2   9447.8    0.973     0
   100    0     1    535.5    0.054     0
   101    0     2    308.0    0.030     0
   102    0     2   2121.4    0.217     0
   103    0     2   1055.6    0.107     0
   104    0     2    298.9    0.029     0
   105    0     2   9558.7    0.984     0
   106    0     2    462.8    0.046     0
   107    0     2    449.1    0.045     0
   108    0     2    315.0    0.031     0
   109    0     2   1065.6    0.108     0
   110    0     2    872.3    0.089     0
   111    0     2   7153.9    0.736     0
   112    0     2    367.5    0.036     0
   113    0     2    344.8    0.034     0
   114    0     2   9560.8    0.985     0
   115    0     2   1713.1    0.175     0
   116    0     2   8157.5    0.840     0
   117    0     2    303.5    0.030     0
   118    0     2   2114.8    0.217     0
   119    0     2    201.9    0.019     0
   120    0     2    684.1    0.069     0
   121    0     2   9400.9    0.968     0
   122    0     2    308.1    0.030     0
   123    0     2   9709.9    1.000     0
   124    0     2    159.3    0.015     0
   125    0     2    488.7    0.049     0
   126    0     2    308.1    0.030     0
   127    0     2    787.8    0.080     0
   128    0     2    313.5    0.031     0
   129    0     2    293.9    0.029     0
   130    0     2    394.1    0.039     0
   131    0     2   3166.4    0.325     0
   132    0     2    547.7    0.055     0
   133    0     2   2219.9    0.228     0
   134    0     2   9341.1    0.962     0
   135    0     2    682.8    0.069     0
   136    0     1   9560.5    0.985     0
   137    0     2    308.1    0.030     0
   138    0     2   9499.7    0.978     0
   139    0     2   9280.1    0.956     0
   140    0     2    303.3    0.030     0
   141    0     2    343.6    0.034     0
   142    0     2    308.8    0.030     0
   143    0     2    327.4    0.032     0
   144    0     2   4363.7    0.449     0
   145    0     2    261.2    0.025     0
   146    0     2    308.1    0.030     0
   147    0     2    398.9    0.040     0
   148    0     2   1075.6    0.109     0
   149    0     2    683.8    0.069     0
   150    0     2    333.5    0.033     0
   151    0     1       --       --     0
   152    0     1       --       --     0
   153    0     1       --       --     0
Total extinctions: 0
Generation time: 23.809 sec
 ****** Running generation 1 ******
Average fitness:
2624.3551513715192
Best fitness:
[<neat.genome.DefaultGenome object at 0x00000197DDA169A0>]
Traceback (most recent call last):
  File "C:\Projects\Code\Neurals\testing.py", line 185, in <module>
    run(config_path)
  File "C:\Projects\Code\Neurals\testing.py", line 168, in run
    winner = pop.run(eval_genomes, 50)
  File "C:\Users\Maxim N\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0\LocalCache\local-packages\Python39\site-packages\neat\population.py", line 89, in run
    fitness_function(list(iteritems(self.population)), self.config)
  File "C:\Projects\Code\Neurals\testing.py", line 114, in eval_genomes
    wandb.log({"bestfitness": bestfit[0]})
  File "C:\Users\Maxim N\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0\LocalCache\local-packages\Python39\site-packages\wandb\sdk\wandb_run.py", line 256, in wrapper
    return func(self, *args, **kwargs)
  File "C:\Users\Maxim N\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0\LocalCache\local-packages\Python39\site-packages\wandb\sdk\wandb_run.py", line 222, in wrapper
    return func(self, *args, **kwargs)
  File "C:\Users\Maxim N\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0\LocalCache\local-packages\Python39\site-packages\wandb\sdk\wandb_run.py", line 1548, in log
    self._log(data=data, step=step, commit=commit)
  File "C:\Users\Maxim N\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0\LocalCache\local-packages\Python39\site-packages\wandb\sdk\wandb_run.py", line 1339, in _log
    self._partial_history_callback(data, step, commit)
  File "C:\Users\Maxim N\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0\LocalCache\local-packages\Python39\site-packages\wandb\sdk\wandb_run.py", line 1228, in _partial_history_callback
    self._backend.interface.publish_partial_history(
  File "C:\Users\Maxim N\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0\LocalCache\local-packages\Python39\site-packages\wandb\sdk\interface\interface.py", line 548, in publish_partial_history
    item.value_json = json_dumps_safer_history(v)
  File "C:\Users\Maxim N\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0\LocalCache\local-packages\Python39\site-packages\wandb\util.py", line 820, in json_dumps_safer_history
    return json.dumps(obj, cls=WandBHistoryJSONEncoder, **kwargs)
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3568.0_x64__qbz5n2kfra8p0\lib\json\__init__.py", line 234, in dumps
    return cls(
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3568.0_x64__qbz5n2kfra8p0\lib\json\encoder.py", line 199, in encode
    chunks = self.iterencode(o, _one_shot=True)
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3568.0_x64__qbz5n2kfra8p0\lib\json\encoder.py", line 257, in iterencode
    return _iterencode(o, 0)
  File "C:\Users\Maxim N\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0\LocalCache\local-packages\Python39\site-packages\wandb\util.py", line 787, in default
    return json.JSONEncoder.default(self, obj)
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3568.0_x64__qbz5n2kfra8p0\lib\json\encoder.py", line 179, in default
    raise TypeError(f'Object of type {o.__class__.__name__} '
TypeError: Object of type DefaultGenome is not JSON serializable
