 ****** Running generation 0 ******
Average fitness:
Failed mean
Population's average fitness: 2996.06169 stdev: 3576.57884
Best fitness: 9877.57956 - size: (6, 15) - species 92 - id 92
Average adjusted fitness: 0.302
Mean genetic distance 3.159, standard deviation 0.321
Population of 300 members in 151 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2     81.3    0.006     0
     2    0     2   9875.1    1.000     0
     3    0     2    523.6    0.051     0
     4    0     2   1098.7    0.110     0
     5    0     2   8847.9    0.896     0
     6    0     2   7703.6    0.779     0
     7    0     2   1964.7    0.197     0
     8    0     2    285.8    0.027     0
     9    0     2    285.7    0.027     0
    10    0     2    292.1    0.028     0
    11    0     2    313.0    0.030     0
    12    0     2   9608.3    0.973     0
    13    0     2   1865.9    0.187     0
    14    0     2   1091.2    0.109     0
    15    0     2   1023.1    0.102     0
    16    0     2   1167.9    0.117     0
    17    0     2   1153.2    0.115     0
    18    0     2    897.6    0.089     0
    19    0     2   7690.4    0.778     0
    20    0     2   2576.3    0.259     0
    21    0     2   2610.0    0.263     0
    22    0     2   2134.6    0.215     0
    23    0     2   9738.1    0.986     0
    24    0     2   1155.0    0.115     0
    25    0     2    368.7    0.036     0
    26    0     2   9739.9    0.986     0
    27    0     2   1035.3    0.103     0
    28    0     2   8916.6    0.903     0
    29    0     2   6162.6    0.623     0
    30    0     2    286.3    0.027     0
    31    0     2   1224.5    0.122     0
    32    0     2    285.8    0.027     0
    33    0     2    286.2    0.027     0
    34    0     2     47.8    0.003     0
    35    0     2   1490.3    0.149     0
    36    0     2   1045.3    0.104     0
    37    0     2   9594.8    0.971     0
    38    0     2   6005.4    0.607     0
    39    0     2   6113.0    0.618     0
    40    0     2   1103.6    0.110     0
    41    0     2   4485.8    0.453     0
    42    0     2   9838.9    0.996     0
    43    0     2    656.8    0.065     0
    44    0     2    294.7    0.028     0
    45    0     2    285.8    0.027     0
    46    0     2   4919.2    0.497     0
    47    0     2    265.9    0.025     0
    48    0     2    325.0    0.031     0
    49    0     2   5644.6    0.571     0
    50    0     2   3799.9    0.384     0
    51    0     2    313.9    0.030     0
    52    0     2    937.6    0.093     0
    53    0     2    324.4    0.031     0
    54    0     2   9872.1    0.999     0
    55    0     2   9671.2    0.979     0
    56    0     2    776.0    0.077     0
    57    0     2    678.5    0.067     0
    58    0     2   1354.0    0.135     0
    59    0     2   1025.1    0.102     0
    60    0     2   7039.8    0.712     0
    61    0     2   1145.1    0.114     0
    62    0     2    779.9    0.077     0
    63    0     2    287.3    0.027     0
    64    0     2   5455.4    0.551     0
    65    0     2    478.0    0.047     0
    66    0     2    285.9    0.027     0
    67    0     2   9867.7    0.999     0
    68    0     2    285.4    0.027     0
    69    0     2    985.9    0.098     0
    70    0     2    294.4    0.028     0
    71    0     2    290.0    0.028     0
    72    0     2    565.4    0.055     0
    73    0     2   9808.4    0.993     0
    74    0     2    278.8    0.026     0
    75    0     2   9860.4    0.998     0
    76    0     2   7587.1    0.768     0
    77    0     2    285.8    0.027     0
    78    0     2    513.1    0.050     0
    79    0     2   1913.5    0.192     0
    80    0     2    856.8    0.085     0
    81    0     2     18.5    0.000     0
    82    0     2   7791.9    0.788     0
    83    0     2    864.2    0.086     0
    84    0     2    285.9    0.027     0
    85    0     2   9877.5    1.000     0
    86    0     2   1112.7    0.111     0
    87    0     2   9640.6    0.976     0
    88    0     2   9709.2    0.983     0
    89    0     2   3861.7    0.390     0
    90    0     2   9174.9    0.929     0
    91    0     2   1034.3    0.103     0
    92    0     2   9877.6    1.000     0
    93    0     2    314.9    0.030     0
    94    0     2    285.9    0.027     0
