 ****** Running generation 0 ******
Average fitness:
Failed mean
Population's average fitness: 2376.42160 stdev: 3235.65673
Best fitness: 9925.17855 - size: (6, 15) - species 51 - id 51
Average adjusted fitness: 0.239
Mean genetic distance 3.161, standard deviation 0.326
Population of 300 members in 151 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2   7620.1    0.768     0
     2    0     2   1234.1    0.124     0
     3    0     2   9891.9    0.997     0
     4    0     2   1220.0    0.123     0
     5    0     2   4768.4    0.480     0
     6    0     2   1047.1    0.105     0
     7    0     2    425.2    0.043     0
     8    0     2    787.6    0.079     0
     9    0     2    342.2    0.034     0
    10    0     2    348.6    0.035     0
    11    0     2   2190.7    0.221     0
    12    0     2   8976.2    0.904     0
    13    0     2   1039.0    0.105     0
    14    0     2    289.2    0.029     0
    15    0     2    570.9    0.057     0
    16    0     2    341.2    0.034     0
    17    0     2   5749.9    0.579     0
    18    0     2   1223.9    0.123     0
    19    0     2    559.1    0.056     0
    20    0     2   1365.8    0.138     0
    21    0     2    743.3    0.075     0
    22    0     2   6544.3    0.659     0
    23    0     2   1420.4    0.143     0
    24    0     2    356.9    0.036     0
    25    0     2   1745.5    0.176     0
    26    0     2    343.5    0.034     0
    27    0     2    344.1    0.035     0
    28    0     2    341.9    0.034     0
    29    0     2    342.1    0.034     0
    30    0     2   1088.1    0.110     0
    31    0     2    494.2    0.050     0
    32    0     2    342.0    0.034     0
    33    0     2   3398.0    0.342     0
    34    0     2    342.3    0.034     0
    35    0     2    983.3    0.099     0
    36    0     2   1588.0    0.160     0
    37    0     2    350.6    0.035     0
    38    0     2   1234.1    0.124     0
    39    0     2   4924.6    0.496     0
    40    0     2   7118.0    0.717     0
    41    0     2   9805.8    0.988     0
    42    0     2   9894.9    0.997     0
    43    0     2    192.7    0.019     0
    44    0     2    332.4    0.033     0
    45    0     2    323.1    0.032     0
    46    0     2    437.1    0.044     0
    47    0     2   9868.6    0.994     0
    48    0     2    372.0    0.037     0
    49    0     2    147.7    0.015     0
    50    0     2    706.8    0.071     0
    51    0     2   9925.2    1.000     0
    52    0     2    344.9    0.035     0
    53    0     2    426.1    0.043     0
    54    0     2    361.8    0.036     0
    55    0     2    342.3    0.034     0
    56    0     2    585.0    0.059     0
    57    0     2    481.7    0.048     0
    58    0     2   1036.9    0.104     0
    59    0     2   2178.7    0.219     0
    60    0     2    939.8    0.095     0
    61    0     2    428.1    0.043     0
    62    0     2    542.7    0.055     0
    63    0     2   1412.9    0.142     0
    64    0     2   5745.4    0.579     0
    65    0     2   2116.1    0.213     0
    66    0     2   1059.3    0.107     0
    67    0     2   1030.8    0.104     0
    68    0     2    619.0    0.062     0
    69    0     2    325.7    0.033     0
    70    0     2    342.7    0.034     0
    71    0     2    340.6    0.034     0
    72    0     2   9782.1    0.986     0
    73    0     2    736.6    0.074     0
    74    0     2   6149.3    0.620     0
    75    0     2   4362.0    0.439     0
    76    0     2    342.2    0.034     0
    77    0     2    342.0    0.034     0
    78    0     2    902.7    0.091     0
    79    0     2    763.0    0.077     0
    80    0     2   6082.0    0.613     0
    81    0     2   9029.7    0.910     0
    82    0     2      1.2    0.000     0
    83    0     2    342.5    0.034     0
    84    0     2   2442.3    0.246     0
    85    0     2    497.3    0.050     0
    86    0     2    342.6    0.034     0
    87    0     2    354.0    0.036     0
    88    0     2    635.9    0.064     0
    89    0     2   8044.7    0.811     0
    90    0     2   1128.9    0.114     0
    91    0     2    342.0    0.034     0
    92    0     2   1004.7    0.101     0
    93    0     2    369.2    0.037     0
    94    0     2    628.5    0.063     0
    95    0     2   5744.7    0.579     0
    96    0     2   1305.7    0.131     0
    97    0     2    967.3    0.097     0
    98    0     2   9894.9    0.997     0
    99    0     2    393.3    0.040     0
   100    0     2   9242.9    0.931     0
   101    0     2   2003.1    0.202     0
   102    0     2   1431.9    0.144     0
   103    0     2    373.6    0.038     0
   104    0     2    312.4    0.031     0
   105    0     2    378.9    0.038     0
   106    0     2    342.0    0.034     0
   107    0     2   9076.0    0.914     0
   108    0     2    342.3    0.034     0
   109    0     2    368.3    0.037     0
   110    0     2    683.7    0.069     0
   111    0     2    342.1    0.034     0
   112    0     2    324.0    0.033     0
   113    0     2    456.5    0.046     0
   114    0     2    343.6    0.034     0
   115    0     2   5504.3    0.555     0
   116    0     2    969.9    0.098     0
   117    0     2   1502.1    0.151     0
   118    0     2   4983.2    0.502     0
   119    0     2    362.1    0.036     0
   120    0     2    392.4    0.039     0
   121    0     2    342.3    0.034     0
   122    0     2   9919.0    0.999     0
   123    0     2   9790.5    0.986     0
   124    0     2    338.9    0.034     0
   125    0     2    342.0    0.034     0
   126    0     2    730.1    0.073     0
   127    0     1     16.4    0.002     0
   128    0     2    335.9    0.034     0
   129    0     2    729.5    0.073     0
   130    0     2   9642.2    0.971     0
   131    0     2    411.4    0.041     0
   132    0     2   1850.0    0.186     0
   133    0     2    339.9    0.034     0
   134    0     2    371.8    0.037     0
   135    0     2   9643.8    0.972     0
   136    0     2   1091.1    0.110     0
   137    0     2    342.0    0.034     0
   138    0     2   9894.9    0.997     0
   139    0     2   7413.9    0.747     0
   140    0     2    342.3    0.034     0
   141    0     2    910.4    0.092     0
   142    0     2    342.1    0.034     0
   143    0     2    204.5    0.020     0
   144    0     2   9552.2    0.962     0
   145    0     2   1182.4    0.119     0
   146    0     2   1214.7    0.122     0
   147    0     2   8713.0    0.878     0
   148    0     2   9921.6    1.000     0
   149    0     2    342.9    0.034     0
   150    0     2    822.2    0.083     0
   151    0     1       --       --     0
Total extinctions: 0
Generation time: 23.610 sec
 ****** Running generation 1 ******
Average fitness:
2376.4215984417488
Best fitness:
9925.178549236827
Failed fitness
Population's average fitness: 2093.10807 stdev: 3168.34651
Best fitness: 9622.44419 - size: (6, 15) - species 51 - id 51
Average adjusted fitness: 0.216
Mean genetic distance 3.161, standard deviation 0.326
Population of 302 members in 151 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    1     2   2851.0    0.530     1
     2    1     2    859.1    0.092     1
     3    1     2   8938.5    0.964     1
     4    1     2    904.9    0.094     1
     5    1     2   1223.5    0.563     1
     6    1     2   1231.3    0.175     0
     7    1     2     70.7    0.502     1
     8    1     2     38.0    0.041     1
     9    1     2     79.0    0.011     1
    10    1     2     42.2    0.025     1
    11    1     2   2505.2    0.616     0
    12    1     2   3694.3    0.662     1
    13    1     2    876.7    0.545     1
    14    1     2    249.5    0.042     1
    15    1     2     86.3    0.017     1
    16    1     2    133.4    0.034     1
    17    1     2    440.5    0.308     1
    18    1     2     40.5    0.004     1
    19    1     2    319.8    0.049     1
    20    1     2    679.2    0.103     1
    21    1     2   1098.9    0.115     0
    22    1     2    287.3    0.336     1
    23    1     2    336.7    0.103     1
    24    1     2    117.6    0.014     1
    25    1     2    836.7    0.132     1
    26    1     2    133.5    0.020     1
    27    1     2    112.4    0.063     1
    28    1     2     37.8    0.148     1
    29    1     2     38.0    0.004     1
    30    1     2   1372.3    0.227     0
    31    1     2    184.9    0.057     1
    32    1     2     38.4    0.004     1
    33    1     2    853.6    0.235     1
    34    1     2     41.3    0.034     1
    35    1     2    490.6    0.060     1
