 ****** Running generation 0 ******
Average fitness:
Failed mean
Failed fitness
Run done
Enum done
Population's average fitness: 2982.25658 stdev: 3651.24603
Best fitness: 9318.84002 - size: (6, 15) - species 103 - id 103
Average adjusted fitness: 0.320
Mean genetic distance 3.164, standard deviation 0.314
Population of 300 members in 151 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2   9316.5    1.000     0
     2    0     2   5789.4    0.621     0
     3    0     2     16.3    0.002     0
     4    0     2    471.2    0.050     0
     5    0     2    291.3    0.031     0
     6    0     2    592.6    0.063     0
     7    0     2    273.6    0.029     0
     8    0     2    277.9    0.030     0
     9    0     2   9302.4    0.998     0
    10    0     2    294.3    0.031     0
    11    0     2     31.1    0.003     0
    12    0     2    678.9    0.073     0
    13    0     2    291.5    0.031     0
    14    0     2    299.4    0.032     0
    15    0     2    988.7    0.106     0
    16    0     2    238.1    0.025     0
    17    0     2    115.2    0.012     0
    18    0     2    116.2    0.012     0
    19    0     2    737.9    0.079     0
    20    0     2    479.6    0.051     0
    21    0     2   8831.4    0.948     0
    22    0     2    683.3    0.073     0
    23    0     2   2511.3    0.269     0
    24    0     2   1138.4    0.122     0
    25    0     2   9318.0    1.000     0
    26    0     2   1899.5    0.204     0
    27    0     2   2078.8    0.223     0
    28    0     2   9310.0    0.999     0
    29    0     2   6261.3    0.672     0
    30    0     2   9263.2    0.994     0
    31    0     2    986.1    0.106     0
    32    0     2    437.1    0.047     0
    33    0     2    293.9    0.031     0
    34    0     2    488.7    0.052     0
    35    0     2    233.0    0.025     0
    36    0     2   5211.7    0.559     0
    37    0     2   9315.4    1.000     0
    38    0     2    235.0    0.025     0
    39    0     2    383.1    0.041     0
    40    0     2    234.1    0.025     0
    41    0     2    661.4    0.071     0
    42    0     2    294.1    0.031     0
    43    0     2    292.0    0.031     0
    44    0     2    574.4    0.062     0
    45    0     2    294.3    0.031     0
    46    0     2   7136.3    0.766     0
    47    0     2    274.9    0.029     0
    48    0     2    688.4    0.074     0
    49    0     2    614.9    0.066     0
    50    0     2    704.4    0.075     0
    51    0     2   4946.7    0.531     0
    52    0     2   1086.5    0.116     0
    53    0     2   9207.1    0.988     0
    54    0     2    294.1    0.031     0
    55    0     2   4913.8    0.527     0
    56    0     2    294.1    0.031     0
    57    0     2   9227.7    0.990     0
    58    0     2    224.9    0.024     0
    59    0     2    295.1    0.032     0
    60    0     2   5161.0    0.554     0
    61    0     2   1393.8    0.149     0
    62    0     2    273.6    0.029     0
    63    0     2     93.7    0.010     0
    64    0     2     45.5    0.005     0
    65    0     2    383.7    0.041     0
    66    0     2   9318.7    1.000     0
    67    0     2   9318.0    1.000     0
    68    0     2    294.1    0.031     0
    69    0     2   9318.0    1.000     0
    70    0     2    646.0    0.069     0
    71    0     2   8426.9    0.904     0
    72    0     2   8210.2    0.881     0
    73    0     2   9318.0    1.000     0
    74    0     2    285.1    0.030     0
    75    0     2    326.2    0.035     0
    76    0     2   9317.8    1.000     0
    77    0     2    309.1    0.033     0
    78    0     2   3499.2    0.375     0
    79    0     2    494.6    0.053     0
    80    0     2    294.1    0.031     0
    81    0     2   8062.5    0.865     0
    82    0     2   8435.2    0.905     0
    83    0     2    620.3    0.066     0
    84    0     2   1500.2    0.161     0
