 ****** Running generation 0 ******
Average fitness:
Failed mean
Failed fitness
Run done
Enum done
Population's average fitness: 2507.49251 stdev: 3154.87233
Best fitness: 9361.82949 - size: (6, 15) - species 139 - id 139
Average adjusted fitness: 0.266
Mean genetic distance 3.161, standard deviation 0.316
Population of 300 members in 151 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2    378.6    0.038     0
     2    0     2   9271.0    0.990     0
     3    0     2    613.8    0.064     0
     4    0     2    370.3    0.037     0
     5    0     2   3962.8    0.422     0
     6    0     2   1746.6    0.185     0
     7    0     2   9332.0    0.997     0
     8    0     2    613.8    0.064     0
     9    0     2   8723.3    0.932     0
    10    0     2    550.7    0.057     0
    11    0     2    334.5    0.034     0
    12    0     2   2131.1    0.226     0
    13    0     2    763.9    0.080     0
    14    0     2    613.8    0.064     0
    15    0     2    366.3    0.037     0
    16    0     2    600.6    0.062     0
    17    0     2   9220.6    0.985     0
    18    0     2    546.1    0.056     0
    19    0     2    368.0    0.037     0
    20    0     2    613.9    0.064     0
    21    0     2    614.1    0.064     0
    22    0     2    613.8    0.064     0
    23    0     2    608.3    0.063     0
    24    0     2   5822.9    0.621     0
    25    0     1    613.8    0.064     0
    26    0     2   6703.4    0.715     0
    27    0     2   1121.0    0.118     0
    28    0     2    613.9    0.064     0
    29    0     2    520.2    0.054     0
    30    0     2   9251.8    0.988     0
    31    0     2   1104.3    0.116     0
    32    0     2    584.6    0.060     0
    33    0     2    712.1    0.074     0
    34    0     2   2022.4    0.214     0
    35    0     2   1005.0    0.105     0
    36    0     2   1729.2    0.183     0
    37    0     2    281.5    0.028     0
    38    0     2    400.1    0.041     0
    39    0     2    613.8    0.064     0
    40    0     2    613.8    0.064     0
    41    0     2   2392.2    0.254     0
    42    0     2    604.9    0.063     0
    43    0     2    613.3    0.064     0
    44    0     2   1083.4    0.114     0
    45    0     2   7009.3    0.748     0
    46    0     2    601.0    0.062     0
    47    0     2    613.9    0.064     0
    48    0     2   1143.6    0.120     0
    49    0     2    353.5    0.036     0
    50    0     2   6048.4    0.645     0
    51    0     2    613.8    0.064     0
    52    0     2    613.9    0.064     0
    53    0     2   9319.1    0.995     0
    54    0     2    588.6    0.061     0
    55    0     2    613.9    0.064     0
    56    0     2   9108.7    0.973     0
    57    0     2    613.8    0.064     0
    58    0     2   9310.3    0.994     0
    59    0     2   9317.7    0.995     0
    60    0     2   9318.5    0.995     0
    61    0     2   1020.7    0.107     0
    62    0     2    547.9    0.057     0
    63    0     2    584.5    0.060     0
    64    0     2   5519.9    0.589     0
    65    0     2    624.1    0.065     0
    66    0     2   6723.5    0.718     0
    67    0     2    546.5    0.056     0
    68    0     2   1418.3    0.150     0
    69    0     2    613.8    0.064     0
    70    0     2    613.7    0.064     0
    71    0     2   2583.6    0.274     0
    72    0     2    613.1    0.063     0
    73    0     2    375.6    0.038     0
    74    0     2   1333.9    0.141     0
    75    0     2    613.9    0.064     0
    76    0     2     20.0    0.000     0
    77    0     2   6455.7    0.689     0
    78    0     2   9294.4    0.993     0
    79    0     2    604.6    0.063     0
    80    0     2   2397.2    0.254     0
    81    0     2   8719.3    0.931     0
    82    0     2    371.5    0.038     0
    83    0     2   2425.6    0.258     0
    84    0     2   6877.3    0.734     0
    85    0     2   1073.2    0.113     0
    86    0     2   9293.5    0.993     0
    87    0     2    465.3    0.048     0
    88    0     2   8396.4    0.897     0
    89    0     2    907.7    0.095     0
    90    0     2   1654.0    0.175     0
    91    0     2    531.9    0.055     0
    92    0     2   9345.1    0.998     0
    93    0     2   1182.5    0.124     0
    94    0     2   1167.2    0.123     0
    95    0     2    613.6    0.064     0
    96    0     2    687.6    0.071     0
    97    0     2   6051.5    0.646     0
    98    0     2    595.5    0.062     0
    99    0     2    216.9    0.021     0
   100    0     2    760.7    0.079     0
   101    0     2   7014.3    0.749     0
   102    0     2    613.9    0.064     0
   103    0     2    626.9    0.065     0
   104    0     2    592.0    0.061     0
   105    0     2   1127.4    0.119     0
   106    0     2    426.5    0.044     0
   107    0     2   1307.8    0.138     0
   108    0     2    372.5    0.038     0
   109    0     2    613.8    0.064     0
   110    0     2    559.3    0.058     0
   111    0     2    613.9    0.064     0
   112    0     2   3686.5    0.392     0
   113    0     2   1509.0    0.159     0
   114    0     2    613.9    0.064     0
   115    0     2    654.6    0.068     0
   116    0     2   2341.4    0.248     0
   117    0     2   9229.4    0.986     0
   118    0     2   1054.7    0.111     0
   119    0     2   6893.8    0.736     0
   120    0     2    572.0    0.059     0
   121    0     2   9266.5    0.990     0
   122    0     2    614.0    0.064     0
   123    0     2    643.0    0.067     0
   124    0     2   6452.3    0.689     0
   125    0     2   1164.4    0.123     0
   126    0     2    613.0    0.063     0
   127    0     2    615.4    0.064     0
   128    0     2    613.8    0.064     0
   129    0     2    617.3    0.064     0
   130    0     2    802.5    0.084     0
   131    0     2   1136.3    0.119     0
   132    0     2    680.3    0.071     0
   133    0     2    613.9    0.064     0
   134    0     2   9319.1    0.995     0
   135    0     2    343.3    0.035     0
   136    0     2   9311.0    0.995     0
   137    0     2   1084.5    0.114     0
   138    0     2    485.8    0.050     0
   139    0     2   9361.8    1.000     0
   140    0     2    826.1    0.086     0
   141    0     2   1140.6    0.120     0
   142    0     2    571.8    0.059     0
   143    0     2   5066.5    0.540     0
   144    0     2    626.8    0.065     0
   145    0     2   1161.0    0.122     0
   146    0     2   1061.0    0.111     0
   147    0     2   9185.5    0.981     0
   148    0     2    615.1    0.064     0
   149    0     2    536.6    0.055     0
   150    0     2    776.1    0.081     0
   151    0     1       --       --     0
Total extinctions: 0
Generation time: 3.445 sec
 ****** Running generation 1 ******
Average fitness:
2507.4925112265632
Best fitness:
9361.829494585196
Failed fitness
Run done
Enum done
Population's average fitness: 2597.27065 stdev: 3359.80038
Best fitness: 9983.77356 - size: (7, 14) - species 5 - id 266
Average adjusted fitness: 0.258
Mean genetic distance 3.162, standard deviation 0.317
Population of 302 members in 151 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    1     2    940.5    0.093     0
     2    1     2   7737.8    0.879     1
     3    1     2    446.8    0.043     1
     4    1     2    931.8    0.128     0
     5    1     2   4191.8    0.709     0
     6    1     2   1246.2    0.170     1
     7    1     2   9854.9    0.991     0
     8    1     2    446.9    0.043     1
     9    1     2   9012.4    0.930     0
    10    1     2    589.3    0.077     0
    11    1     2    973.2    0.502     0
    12    1     2    514.7    0.157     1
    13    1     2    253.1    0.024     1
    14    1     2    446.9    0.043     1
    15    1     2    446.5    0.067     0
    16    1     2    260.3    0.055     1
    17    1     2    940.0    0.536     1
    18    1     2    828.1    0.534     0
    19    1     2    853.7    0.088     0
    20    1     2    446.9    0.043     1
    21    1     2    446.9    0.043     1
    22    1     2    446.9    0.043     1
    23    1     2    453.1    0.066     1
    24    1     2   6359.6    0.806     0
    25    1     2    446.9    0.043     1
    26    1     2   7231.5    0.853     0
    27    1     2   1091.9    0.119     1
    28    1     2    446.9    0.108     1
    29    1     2    274.1    0.059     1
    30    1     2   1150.4    0.547     1
    31    1     2    630.6    0.063     1
    32    1     2    282.3    0.035     1
    33    1     2    465.7    0.046     1
    34    1     2    446.9    0.140     1
    35    1     2   1150.9    0.469     0
    36    1     2    540.3    0.137     1
    37    1     2    830.7    0.085     0
    38    1     2    220.7    0.507     1
    39    1     2    446.9    0.043     1
    40    1     2    447.0    0.043     1
    41    1     2    447.8    0.167     1
    42    1     2    457.0    0.087     1
    43    1     2    448.1    0.514     1
    44    1     2   1246.3    0.555     0
    45    1     2   1269.2    0.408     1
    46    1     2    426.8    0.049     1
    47    1     2    446.9    0.052     1
    48    1     2   1156.1    0.208     0
    49    1     2    845.2    0.084     0
    50    1     2    708.2    0.327     1
    51    1     2    446.9    0.043     1
    52    1     2    446.9    0.043     1
    53    1     2   1851.5    0.585     1
    54    1     2    455.1    0.453     1
    55    1     2    446.9    0.043     1
    56    1     2   8893.9    0.920     1
    57    1     2    446.9    0.043     1
    58    1     2   1038.0    0.544     1
    59    1     2   9846.0    0.986     0
    60    1     2   9846.5    0.986     0
    61    1     2   1334.5    0.406     0
    62    1     2    692.3    0.094     0
    63    1     2    444.4    0.050     1
    64    1     2    843.0    0.374     1
    65    1     2    450.6    0.253     1
    66    1     2   4145.0    0.560     1
    67    1     2    444.0    0.043     1
    68    1     2    591.7    0.097     1
    69    1     2    446.9    0.043     1
    70    1     2    455.3    0.060     1
    71    1     2   1427.3    0.191     1
    72    1     2    446.4    0.044     1
