 ****** Running generation 0 ******
Average fitness:
Failed mean
Failed fitness
Run done
Enum done
Population's average fitness: 0.37553 stdev: 0.26838
Best fitness: 2.10836 - size: (6, 15) - species 24 - id 24
Average adjusted fitness: 0.136
Mean genetic distance 3.163, standard deviation 0.307
Population of 300 members in 152 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2      0.5    0.192     0
     2    0     2      0.5    0.191     0
     3    0     2      0.4    0.156     0
     4    0     2      0.5    0.205     0
     5    0     2      0.5    0.191     0
     6    0     2      0.2    0.025     0
     7    0     2      0.5    0.191     0
     8    0     2      0.1    0.005     0
     9    0     2      0.5    0.201     0
    10    0     2      0.5    0.191     0
    11    0     2      0.3    0.118     0
    12    0     2      0.3    0.103     0
    13    0     2      0.4    0.167     0
    14    0     2      0.3    0.096     0
    15    0     2      0.3    0.101     0
    16    0     2      0.1    0.000     0
    17    0     2      0.5    0.179     0
    18    0     2      0.5    0.191     0
    19    0     2      0.3    0.120     0
    20    0     2      0.5    0.192     0
    21    0     2      0.5    0.191     0
    22    0     2      0.4    0.155     0
    23    0     2      0.4    0.139     0
    24    0     2      2.1    1.000     0
    25    0     2      0.5    0.196     0
    26    0     2      0.3    0.121     0
    27    0     2      0.5    0.191     0
    28    0     2      0.4    0.145     0
    29    0     2      0.1    0.002     0
    30    0     2      0.4    0.144     0
    31    0     2      0.5    0.191     0
    32    0     2      0.2    0.052     0
    33    0     2      0.1    0.002     0
    34    0     2      1.4    0.622     0
    35    0     2      1.9    0.875     0
    36    0     2      0.5    0.184     0
    37    0     2      0.1    0.000     0
    38    0     2      0.1    0.000     0
    39    0     2      0.2    0.025     0
    40    0     2      0.5    0.202     0
    41    0     2      0.1    0.002     0
    42    0     2      0.4    0.133     0
    43    0     2      0.3    0.102     0
    44    0     2      0.1    0.000     0
    45    0     2      0.1    0.004     0
    46    0     2      0.4    0.158     0
    47    0     2      0.3    0.098     0
    48    0     2      0.4    0.162     0
    49    0     2      0.5    0.180     0
    50    0     2      0.5    0.184     0
    51    0     2      0.4    0.158     0
    52    0     2      0.5    0.182     0
    53    0     2      0.4    0.142     0
    54    0     2      0.5    0.191     0
    55    0     2      0.5    0.181     0
    56    0     2      0.2    0.029     0
    57    0     2      0.5    0.191     0
    58    0     2      0.1    0.003     0
    59    0     2      0.5    0.191     0
    60    0     2      0.5    0.190     0
    61    0     2      0.1    0.000     0
    62    0     2      0.5    0.192     0
    63    0     2      1.3    0.616     0
    64    0     2      0.5    0.185     0
    65    0     2      0.5    0.222     0
    66    0     2      0.5    0.179     0
    67    0     2      0.1    0.010     0
    68    0     2      0.4    0.144     0
    69    0     2      0.3    0.108     0
    70    0     2      0.1    0.001     0
    71    0     2      0.5    0.184     0
    72    0     2      0.1    0.009     0
    73    0     2      0.5    0.200     0
    74    0     2      0.4    0.152     0
    75    0     2      0.4    0.151     0
    76    0     2      0.4    0.155     0
    77    0     2      0.1    0.004     0
    78    0     2      0.5    0.191     0
    79    0     2      0.5    0.191     0
    80    0     2      0.4    0.169     0
    81    0     2      0.3    0.095     0
    82    0     2      0.5    0.183     0
    83    0     2      0.6    0.240     0
    84    0     2      0.5    0.185     0
    85    0     2      0.2    0.035     0
    86    0     2      0.4    0.163     0
    87    0     2      0.4    0.124     0
    88    0     2      0.5    0.188     0
    89    0     1      0.5    0.192     0
    90    0     2      0.1    0.024     0
    91    0     2      0.1    0.001     0
    92    0     2      0.1    0.001     0
    93    0     2      0.1    0.002     0
    94    0     2      0.3    0.102     0
    95    0     2      0.5    0.174     0
    96    0     2      0.3    0.090     0
    97    0     2      0.2    0.062     0
    98    0     2      0.1    0.017     0
    99    0     2      0.5    0.207     0
   100    0     2      0.2    0.071     0
   101    0     2      0.5    0.206     0
   102    0     2      0.2    0.028     0
   103    0     2      0.1    0.000     0
   104    0     2      0.3    0.119     0
   105    0     2      0.5    0.191     0
   106    0     2      0.5    0.191     0
   107    0     2      0.1    0.004     0
   108    0     2      0.4    0.149     0
   109    0     2      0.1    0.007     0
   110    0     2      0.4    0.154     0
   111    0     2      0.5    0.188     0
   112    0     2      0.5    0.191     0
   113    0     2      0.1    0.000     0
   114    0     2      0.1    0.000     0
   115    0     2      0.5    0.191     0
   116    0     2      0.3    0.094     0
   117    0     2      0.5    0.178     0
   118    0     2      0.4    0.159     0
   119    0     2      0.3    0.101     0
   120    0     2      0.5    0.186     0
   121    0     2      0.5    0.192     0
   122    0     2      0.4    0.146     0
   123    0     2      0.4    0.124     0
   124    0     2      0.5    0.191     0
   125    0     2      0.5    0.191     0
   126    0     2      0.1    0.003     0
   127    0     2      0.1    0.000     0
   128    0     2      0.5    0.193     0
   129    0     2      0.4    0.172     0
   130    0     1      0.6    0.243     0
   131    0     2      0.1    0.021     0
   132    0     2      0.1    0.000     0
   133    0     2      0.2    0.038     0
   134    0     2      0.1    0.000     0
   135    0     2      0.4    0.173     0
   136    0     2      0.2    0.030     0
   137    0     2      0.1    0.005     0
   138    0     2      0.1    0.000     0
   139    0     2      0.3    0.094     0
   140    0     2      0.5    0.193     0
   141    0     2      0.2    0.026     0
   142    0     2      0.4    0.144     0
   143    0     2      0.5    0.193     0
   144    0     2      0.1    0.005     0
   145    0     2      0.3    0.096     0
   146    0     2      0.3    0.104     0
   147    0     2      0.1    0.000     0
   148    0     2      0.5    0.192     0
   149    0     2      0.5    0.189     0
   150    0     2      0.5    0.191     0
   151    0     1       --       --     0
   152    0     1       --       --     0
Total extinctions: 0
Generation time: 3.530 sec
 ****** Running generation 1 ******
Average fitness:
0.37553217440366515
Best fitness:
2.108362115357905
Failed fitness
Run done
Enum done
Population's average fitness: 0.64359 stdev: 1.09650
Best fitness: 13.29540 - size: (7, 15) - species 9 - id 289
Average adjusted fitness: 0.041
Mean genetic distance 3.161, standard deviation 0.306
Population of 305 members in 153 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    1     2      0.9    0.058     0
     2    1     2      1.8    0.081     0
     3    1     2      0.5    0.015     0
     4    1     2      0.9    0.059     0
     5    1     2      0.8    0.057     0
     6    1     2      7.4    0.306     0
     7    1     2      0.8    0.056     0
     8    1     2      0.6    0.021     0
     9    1     2     13.3    0.532     0
    10    1     2      0.8    0.054     0
    11    1     2      0.4    0.009     0
    12    1     2      0.3    0.009     0
    13    1     2      0.9    0.050     0
    14    1     2      0.8    0.032     0
    15    1     2      1.5    0.060     0
    16    1     2      0.1    0.000     0
    17    1     2      0.4    0.023     1
    18    1     2      0.8    0.057     0
    19    1     2      0.4    0.012     0
    20    1     2      0.9    0.058     0
    21    1     2      0.9    0.059     0
