 ****** Running generation 0 ******
Average fitness:
Failed mean
Failed fitness
Run done
Enum done
Population's average fitness: 3.31752 stdev: 1.59355
Best fitness: 7.39520 - size: (6, 15) - species 74 - id 74
Average adjusted fitness: 0.361
Mean genetic distance 3.171, standard deviation 0.319
Population of 300 members in 150 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2      5.1    0.645     0
     2    0     2      3.9    0.455     0
     3    0     2      1.0    0.003     0
     4    0     2      4.9    0.616     0
     5    0     2      5.9    0.759     0
     6    0     2      3.4    0.369     0
     7    0     2      1.1    0.015     0
     8    0     2      1.0    0.002     0
     9    0     2      1.0    0.002     0
    10    0     2      3.1    0.323     0
    11    0     2      2.4    0.220     0
    12    0     2      1.0    0.002     0
    13    0     2      5.0    0.625     0
    14    0     2      2.7    0.257     0
    15    0     2      1.4    0.060     0
    16    0     2      5.1    0.644     0
    17    0     2      3.5    0.391     0
    18    0     2      1.0    0.001     0
    19    0     2      5.2    0.654     0
    20    0     2      3.5    0.392     0
    21    0     2      1.0    0.003     0
    22    0     2      3.7    0.415     0
    23    0     2      4.2    0.494     0
    24    0     2      1.0    0.002     0
    25    0     2      5.0    0.625     0
    26    0     2      1.0    0.005     0
    27    0     2      3.9    0.458     0
    28    0     2      5.1    0.645     0
    29    0     2      3.9    0.452     0
    30    0     2      4.2    0.502     0
    31    0     2      5.1    0.645     0
    32    0     2      1.5    0.076     0
    33    0     2      4.5    0.546     0
    34    0     2      1.5    0.079     0
    35    0     2      3.2    0.340     0
    36    0     2      5.1    0.646     0
    37    0     2      4.4    0.529     0
    38    0     2      2.7    0.267     0
    39    0     2      3.9    0.453     0
    40    0     2      5.2    0.650     0
    41    0     2      4.4    0.531     0
    42    0     2      1.0    0.001     0
    43    0     2      3.0    0.312     0
    44    0     2      3.1    0.327     0
    45    0     2      4.6    0.560     0
    46    0     2      3.0    0.305     0
    47    0     2      1.0    0.003     0
    48    0     2      2.1    0.166     0
    49    0     2      1.5    0.071     0
    50    0     2      5.1    0.645     0
    51    0     2      5.0    0.620     0
    52    0     2      1.0    0.001     0
    53    0     2      1.0    0.000     0
    54    0     2      5.1    0.647     0
    55    0     2      1.0    0.003     0
    56    0     2      5.0    0.623     0
    57    0     2      3.5    0.383     0
    58    0     2      2.5    0.236     0
    59    0     2      5.1    0.645     0
    60    0     2      5.0    0.621     0
    61    0     2      3.0    0.309     0
    62    0     2      3.9    0.451     0
    63    0     2      1.0    0.003     0
    64    0     2      4.2    0.503     0
    65    0     2      5.1    0.645     0
    66    0     2      2.4    0.210     0
    67    0     2      3.4    0.375     0
    68    0     2      4.8    0.600     0
    69    0     2      3.0    0.310     0
    70    0     2      3.9    0.458     0
    71    0     2      4.4    0.525     0
    72    0     2      4.7    0.571     0
    73    0     2      3.0    0.312     0
    74    0     2      7.4    1.000     0
    75    0     2      4.6    0.560     0
    76    0     2      1.7    0.109     0
    77    0     2      3.9    0.452     0
    78    0     2      1.0    0.001     0
    79    0     2      4.8    0.592     0
    80    0     2      3.1    0.320     0
    81    0     2      4.0    0.465     0
    82    0     2      1.1    0.017     0
    83    0     2      4.1    0.487     0
    84    0     2      1.0    0.002     0
    85    0     2      1.0    0.002     0
    86    0     2      4.9    0.610     0
    87    0     2      4.8    0.589     0
    88    0     2      3.3    0.363     0
    89    0     2      5.1    0.645     0
    90    0     2      5.1    0.645     0
    91    0     2      1.0    0.002     0
    92    0     2      5.1    0.645     0
    93    0     2      3.0    0.306     0
    94    0     2      5.1    0.645     0
    95    0     2      1.1    0.010     0
    96    0     2      1.1    0.017     0
    97    0     2      1.1    0.006     0
    98    0     2      2.6    0.242     0
    99    0     2      6.4    0.839     0
   100    0     2      3.1    0.320     0
   101    0     2      3.5    0.387     0
   102    0     2      3.2    0.343     0
   103    0     2      4.3    0.521     0
   104    0     2      3.3    0.365     0
   105    0     2      4.7    0.574     0
   106    0     2      1.5    0.078     0
   107    0     2      1.5    0.079     0
   108    0     2      5.1    0.645     0
   109    0     2      5.1    0.645     0
   110    0     2      5.1    0.638     0
   111    0     2      1.8    0.131     0
   112    0     2      1.0    0.003     0
   113    0     2      2.5    0.234     0
   114    0     2      1.5    0.069     0
   115    0     2      5.1    0.646     0
   116    0     2      4.6    0.555     0
   117    0     2      3.8    0.431     0
   118    0     2      1.0    0.002     0
   119    0     2      2.6    0.251     0
   120    0     2      3.5    0.383     0
   121    0     2      2.7    0.263     0
   122    0     2      3.7    0.414     0
   123    0     2      5.2    0.653     0
   124    0     2      1.0    0.001     0
   125    0     2      4.2    0.498     0
   126    0     2      5.0    0.626     0
   127    0     2      5.1    0.645     0
   128    0     2      1.5    0.072     0
   129    0     2      3.1    0.334     0
   130    0     2      1.0    0.004     0
   131    0     2      5.0    0.631     0
   132    0     2      4.0    0.465     0
   133    0     2      1.0    0.001     0
   134    0     2      5.0    0.629     0
   135    0     2      1.1    0.007     0
   136    0     2      4.9    0.601     0
   137    0     2      3.0    0.305     0
   138    0     2      1.0    0.001     0
   139    0     2      5.1    0.633     0
   140    0     2      3.0    0.318     0
   141    0     2      1.3    0.040     0
   142    0     2      3.1    0.325     0
   143    0     2      1.0    0.004     0
   144    0     2      4.8    0.588     0
   145    0     2      5.2    0.649     0
   146    0     2      5.0    0.621     0
   147    0     2      4.3    0.521     0
   148    0     2      2.4    0.221     0
   149    0     2      3.5    0.385     0
   150    0     2      4.8    0.597     0
Total extinctions: 0
Generation time: 4.379 sec
 ****** Running generation 1 ******
Average fitness:
3.317518736135381
Best fitness:
7.39520215210479
Failed fitness
Run done
Enum done
Population's average fitness: 3.73653 stdev: 4.59523
Best fitness: 57.46734 - size: (6, 15) - species 5 - id 5
Average adjusted fitness: 0.048
Mean genetic distance 3.171, standard deviation 0.319
Population of 303 members in 150 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    1     2      5.3    0.070     0
