 ****** Running generation 0 ******
Average fitness:
Failed mean
Run done
Enum done
Population's average fitness: 5.91599 stdev: 6.33243
Best fitness: 45.13502 - size: (6, 15) - species 108 - id 108
Average adjusted fitness: 0.111
Mean genetic distance 3.161, standard deviation 0.303
Population of 300 members in 151 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2      1.1    0.001     0
     2    0     2      3.4    0.053     0
     3    0     2      3.5    0.055     0
     4    0     2      4.0    0.067     0
     5    0     2      2.1    0.025     0
     6    0     2      1.0    0.000     0
     7    0     2      1.0    0.000     0
     8    0     2      3.1    0.048     0
     9    0     2     10.4    0.212     0
    10    0     2     11.4    0.235     0
    11    0     2      1.2    0.004     0
    12    0     2      1.1    0.001     0
    13    0     2      1.2    0.004     0
    14    0     2      7.4    0.144     0
    15    0     2      3.7    0.060     0
    16    0     2     11.1    0.228     0
    17    0     2      3.5    0.057     0
    18    0     2      3.5    0.056     0
    19    0     2     10.4    0.211     0
    20    0     2      1.0    0.000     0
    21    0     2     24.8    0.538     0
    22    0     2      3.9    0.065     0
    23    0     2      5.3    0.096     0
    24    0     2      2.3    0.028     0
    25    0     2      4.3    0.075     0
    26    0     2      3.6    0.059     0
    27    0     2      1.6    0.014     0
    28    0     2     10.4    0.211     0
    29    0     2      3.2    0.048     0
    30    0     2      3.4    0.053     0
    31    0     2     11.1    0.228     0
    32    0     2      5.5    0.102     0
    33    0     2      2.2    0.028     0
    34    0     2     10.4    0.213     0
    35    0     2      4.3    0.074     0
    36    0     2      1.6    0.012     0
    37    0     2      2.3    0.029     0
    38    0     2      6.3    0.119     0
    39    0     2      3.5    0.057     0
    40    0     2     11.6    0.240     0
    41    0     2      3.7    0.062     0
    42    0     2      1.0    0.000     0
    43    0     2      1.1    0.002     0
    44    0     2      3.0    0.044     0
    45    0     2      2.0    0.023     0
    46    0     2      5.7    0.107     0
    47    0     2      1.1    0.001     0
    48    0     2      4.2    0.072     0
    49    0     2     18.8    0.403     0
    50    0     2      7.6    0.149     0
    51    0     2      1.0    0.000     0
    52    0     2      1.0    0.000     0
    53    0     2      1.1    0.002     0
    54    0     2      1.0    0.000     0
    55    0     2      1.0    0.000     0
    56    0     2      6.9    0.132     0
