
 ****** Running generation 0 ******
Run done
Enum done
Population's average fitness: 5.56736 stdev: 6.98243
Best fitness: 80.96980 - size: (6, 15) - species 23 - id 23
Average adjusted fitness: 0.057
Mean genetic distance 3.158, standard deviation 0.309
Population of 302 members in 152 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2      1.0    0.000     0
     2    0     2      3.3    0.029     0
     3    0     2     14.2    0.165     0
     4    0     2      1.0    0.000     0
     5    0     2      1.0    0.000     0
     6    0     2      5.1    0.052     0
     7    0     2      8.5    0.094     0
     8    0     2      8.4    0.092     0
     9    0     2     18.0    0.212     0
    10    0     2      1.6    0.007     0
    11    0     2      5.8    0.060     0
    12    0     2      1.0    0.000     0
    13    0     2      8.5    0.094     0
    14    0     2      2.6    0.020     0
    15    0     2      2.3    0.016     0
    16    0     2      3.7    0.034     0
    17    0     2      2.3    0.016     0
    18    0     2     15.7    0.184     0
    19    0     2      5.9    0.061     0
    20    0     2      8.5    0.094     0
    21    0     2      3.2    0.027     0
    22    0     2      3.5    0.031     0
    23    0     4     81.0    1.000     0
    24    0     2      6.6    0.069     0
    25    0     2      1.0    0.000     0
    26    0     2      1.0    0.000     0
    27    0     2      3.6    0.032     0
    28    0     2      3.9    0.036     0
    29    0     2      4.0    0.038     0
    30    0     2      8.6    0.094     0
    31    0     2      3.5    0.031     0
    32    0     2      3.7    0.033     0
    33    0     2      8.0    0.087     0
    34    0     2     11.0    0.125     0
    35    0     1      3.4    0.030     0
    36    0     2      3.5    0.031     0
    37    0     2      7.1    0.077     0
    38    0     2      5.4    0.055     0
    39    0     2      2.9    0.023     0
    40    0     2      5.0    0.050     0
    41    0     2      6.7    0.071     0
    42    0     2      8.5    0.094     0
    43    0     2      6.8    0.073     0
    44    0     2      3.4    0.030     0
    45    0     2      1.0    0.000     0
    46    0     2      3.5    0.031     0
    47    0     2      8.3    0.091     0
    48    0     2      2.7    0.020     0
    49    0     1      3.2    0.027     0
    50    0     2      1.0    0.000     0
    51    0     2      3.5    0.031     0
    52    0     2      3.7    0.033     0
    53    0     2      5.5    0.056     0
    54    0     2      1.1    0.001     0
    55    0     2     11.2    0.127     0
    56    0     2      5.6    0.057     0
    57    0     2      2.8    0.023     0
    58    0     2      8.6    0.095     0
    59    0     2      1.1    0.001     0
    60    0     2      8.5    0.094     0
    61    0     2      3.5    0.031     0
    62    0     2      3.7    0.033     0
    63    0     2      5.7    0.058     0
    64    0     2      8.5    0.094     0
    65    0     2      9.3    0.103     0
    66    0     2      5.4    0.055     0
    67    0     2      5.2    0.053     0
    68    0     2      3.5    0.031     0
    69    0     2      1.0    0.000     0
    70    0     2      8.5    0.094     0
    71    0     2      4.4    0.042     0
    72    0     2      7.6    0.083     0
    73    0     2      1.1    0.001     0
    74    0     2      4.5    0.043     0
    75    0     2      6.0    0.062     0
    76    0     2      1.3    0.003     0
    77    0     2      4.0    0.037     0
    78    0     2      3.8    0.035     0
    79    0     2      8.6    0.095     0
    80    0     2      3.9    0.036     0
    81    0     2      5.3    0.054     0
    82    0     2      4.1    0.039     0
    83    0     2      2.8    0.022     0
    84    0     2      8.2    0.090     0
    85    0     2      1.0    0.000     0
    86    0     2      8.8    0.098     0
    87    0     2      6.6    0.069     0
    88    0     2      5.3    0.053     0
    89    0     2      8.5    0.094     0
    90    0     2      6.5    0.069     0
    91    0     2      3.0    0.025     0
    92    0     2      7.5    0.081     0
    93    0     2      6.5    0.068     0
    94    0     2      8.5    0.094     0
    95    0     2      7.7    0.084     0
    96    0     2      8.5    0.094     0
    97    0     2      8.5    0.094     0
    98    0     2      8.5    0.094     0
    99    0     2      5.3    0.054     0
   100    0     2      1.3    0.004     0
   101    0     2      4.0    0.037     0
   102    0     2      2.1    0.014     0
   103    0     2      2.3    0.017     0
   104    0     2      2.5    0.019     0
   105    0     2      8.5    0.094     0
   106    0     2      1.6    0.007     0
   107    0     2      1.5    0.006     0
   108    0     2      8.5    0.094     0
   109    0     2      7.6    0.082     0
   110    0     2      1.0    0.000     0
   111    0     2      5.0    0.049     0
   112    0     2      9.2    0.102     0
   113    0     2      5.2    0.052     0
   114    0     2      1.2    0.002     0
   115    0     2      8.5    0.093     0
   116    0     2      1.1    0.001     0
   117    0     2      8.5    0.094     0
   118    0     2      8.5    0.094     0
   119    0     2      2.0    0.012     0
   120    0     2      1.0    0.000     0
   121    0     2      1.1    0.002     0
   122    0     2      3.3    0.028     0
   123    0     2      6.9    0.074     0
   124    0     2      1.9    0.012     0
   125    0     2     11.4    0.130     0
   126    0     2      8.1    0.088     0
   127    0     2      2.2    0.014     0
   128    0     2      7.5    0.081     0
   129    0     2     10.1    0.114     0
   130    0     2      6.8    0.072     0
   131    0     2      1.0    0.000     0
   132    0     2      5.5    0.057     0
   133    0     2      9.1    0.101     0
   134    0     2      4.8    0.047     0
   135    0     2      1.0    0.000     0
   136    0     2      2.2    0.014     0
   137    0     2      8.0    0.087     0
   138    0     2      2.1    0.013     0
   139    0     2      8.7    0.096     0
   140    0     2      1.7    0.009     0
   141    0     2      1.1    0.001     0
   142    0     2      1.7    0.009     0
   143    0     2      3.6    0.033     0
   144    0     2      3.5    0.031     0
   145    0     2      1.0    0.000     0
   146    0     2      5.9    0.062     0
   147    0     2      5.4    0.055     0
   148    0     2      8.5    0.094     0
   149    0     2      2.4    0.017     0
   150    0     2      1.0    0.000     0
   151    0     1       --       --     0
   152    0     1       --       --     0
Total extinctions: 0
Generation time: 4.317 sec
