
 ****** Running generation 0 ******
Run done
Enum done
Population's average fitness: 7.43328 stdev: 5.76302
Best fitness: 63.10214 - size: (6, 15) - species 129 - id 129
Average adjusted fitness: 0.088
Mean genetic distance 3.177, standard deviation 0.327
Population of 301 members in 151 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2      5.0    0.047     0
     2    0     2      5.7    0.060     0
     3    0     2     18.5    0.269     0
     4    0     2      5.0    0.049     0
     5    0     2      9.9    0.129     0
     6    0     2      2.1    0.000     0
     7    0     2     12.5    0.171     0
     8    0     2      9.9    0.129     0
     9    0     2      7.7    0.091     0
    10    0     2      9.9    0.129     0
    11    0     2     10.1    0.131     0
    12    0     2      6.1    0.067     0
    13    0     2      8.8    0.110     0
    14    0     2      6.8    0.077     0
    15    0     2     10.7    0.142     0
    16    0     2     10.6    0.139     0
    17    0     2      6.6    0.074     0
    18    0     2      7.0    0.081     0
    19    0     2      9.9    0.129     0
    20    0     2     10.0    0.129     0
    21    0     2      2.1    0.001     0
    22    0     2      4.4    0.038     0
    23    0     2      2.3    0.003     0
    24    0     2      7.5    0.088     0
    25    0     2      6.1    0.066     0
    26    0     2     10.0    0.129     0
    27    0     2      6.6    0.075     0
    28    0     2      4.5    0.039     0
    29    0     2     10.0    0.129     0
    30    0     2      7.7    0.092     0
    31    0     2     10.0    0.129     0
    32    0     2      7.3    0.086     0
    33    0     2     10.0    0.129     0
    34    0     2      7.4    0.087     0
    35    0     2      2.1    0.000     0
    36    0     2      9.0    0.114     0
    37    0     2      5.7    0.059     0
    38    0     2      2.2    0.002     0
    39    0     2      5.7    0.059     0
    40    0     2      5.7    0.059     0
    41    0     2      2.1    0.000     0
    42    0     2     10.0    0.129     0
    43    0     2      9.6    0.123     0
    44    0     2      2.6    0.008     0
    45    0     2      7.9    0.096     0
    46    0     2     10.0    0.129     0
    47    0     2     10.0    0.129     0
    48    0     2      2.1    0.000     0
    49    0     2      9.7    0.125     0
    50    0     2      2.2    0.002     0
    51    0     2     10.0    0.129     0
    52    0     2      9.8    0.127     0
    53    0     2      5.7    0.059     0
    54    0     2     26.1    0.394     0
    55    0     2      6.3    0.070     0
    56    0     2      6.6    0.074     0
    57    0     2      8.5    0.106     0
    58    0     2      5.2    0.051     0
    59    0     2     10.0    0.129     0
    60    0     2     10.0    0.129     0
    61    0     2     10.0    0.129     0
    62    0     2      9.9    0.129     0
    63    0     2      9.6    0.123     0
    64    0     2      2.1    0.001     0
    65    0     2      6.1    0.066     0
    66    0     2      6.7    0.076     0
    67    0     2      2.3    0.004     0
    68    0     2     13.4    0.185     0
    69    0     2      6.9    0.078     0
    70    0     2      6.9    0.079     0
    71    0     2      6.7    0.077     0
    72    0     2      5.6    0.057     0
    73    0     2      2.1    0.000     0
    74    0     1      9.9    0.128     0
    75    0     2      8.8    0.109     0
    76    0     2      2.1    0.000     0
    77    0     2      9.9    0.129     0
    78    0     2     10.6    0.140     0
    79    0     2      9.9    0.129     0
    80    0     2      2.6    0.009     0
    81    0     2      8.2    0.100     0
    82    0     2      9.9    0.129     0
    83    0     2      7.3    0.086     0
    84    0     2      5.5    0.057     0
    85    0     2      6.1    0.066     0
    86    0     2      3.9    0.030     0
    87    0     2      8.5    0.105     0
    88    0     2      7.8    0.094     0
    89    0     2      2.1    0.000     0
    90    0     2      7.2    0.084     0
    91    0     2      3.9    0.031     0
    92    0     2      5.7    0.060     0
    93    0     2     10.0    0.129     0
    94    0     2      2.1    0.000     0
    95    0     2      2.1    0.000     0
    96    0     2     10.0    0.129     0
    97    0     2      2.6    0.008     0
    98    0     2      9.4    0.120     0
    99    0     2      9.9    0.129     0
   100    0     2      9.6    0.124     0
   101    0     2      5.7    0.059     0
   102    0     2      2.5    0.008     0
   103    0     2      2.1    0.000     0
   104    0     2      2.4    0.006     0
   105    0     2      9.9    0.128     0
   106    0     2      8.0    0.097     0
   107    0     2      3.9    0.030     0
   108    0     2      4.8    0.045     0
   109    0     2      6.6    0.075     0
   110    0     2     10.0    0.129     0
   111    0     2      5.4    0.055     0
   112    0     2     10.0    0.129     0
   113    0     2      7.1    0.082     0
   114    0     2      9.8    0.126     0
   115    0     2      6.0    0.064     0
   116    0     2      2.1    0.001     0
   117    0     2     10.4    0.136     0
   118    0     2      2.1    0.000     0
   119    0     2      2.1    0.000     0
   120    0     2      9.4    0.119     0
   121    0     2      9.9    0.129     0
   122    0     2      2.1    0.001     0
   123    0     2     13.1    0.180     0
   124    0     2      2.2    0.001     0
   125    0     2     10.0    0.129     0
   126    0     2      9.9    0.129     0
   127    0     2      4.6    0.041     0
   128    0     2     10.0    0.129     0
   129    0     3     63.1    1.000     0
   130    0     2      9.7    0.125     0
   131    0     2      6.1    0.066     0
   132    0     2      3.8    0.028     0
   133    0     2      6.6    0.074     0
   134    0     2     10.0    0.129     0
   135    0     2      9.5    0.121     0
   136    0     2      9.9    0.129     0
   137    0     2      2.6    0.008     0
   138    0     2      4.3    0.037     0
   139    0     2      7.9    0.095     0
   140    0     2      2.1    0.000     0
   141    0     2      5.6    0.058     0
   142    0     2      2.1    0.001     0
   143    0     2      5.6    0.058     0
   144    0     2      4.3    0.036     0
   145    0     2      2.6    0.009     0
   146    0     2      7.8    0.095     0
   147    0     2      6.6    0.074     0
   148    0     2      9.9    0.128     0
   149    0     2      6.6    0.074     0
   150    0     2      9.8    0.127     0
   151    0     1       --       --     0
Total extinctions: 0
Generation time: 9.138 sec
 ****** Running generation 1 ******
Run done
Enum done
