
 ****** Running generation 0 ******
Run done
Enum done
Population's average fitness: 7.06728 stdev: 4.56906
Best fitness: 37.76125 - size: (6, 15) - species 65 - id 65
Average adjusted fitness: 0.143
Mean genetic distance 3.184, standard deviation 0.319
Population of 300 members in 150 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2      1.9    0.001     0
     2    0     2     15.6    0.382     0
     3    0     2      2.0    0.001     0
     4    0     2      6.4    0.125     0
     5    0     2      2.0    0.002     0
     6    0     2     10.0    0.225     0
     7    0     2     10.5    0.239     0
     8    0     2      8.0    0.170     0
     9    0     2      6.2    0.120     0
    10    0     2      9.9    0.224     0
    11    0     2      9.2    0.203     0
    12    0     2      1.9    0.000     0
    13    0     2     13.0    0.310     0
    14    0     2      4.6    0.075     0
    15    0     2      5.5    0.099     0
    16    0     2     10.8    0.246     0
    17    0     2      2.0    0.001     0
    18    0     2     10.3    0.233     0
    19    0     2     10.0    0.225     0
    20    0     2     10.0    0.224     0
    21    0     2      1.9    0.000     0
    22    0     2      6.0    0.113     0
    23    0     2      2.0    0.001     0
    24    0     2      2.0    0.001     0
    25    0     2      8.4    0.181     0
    26    0     2      9.1    0.200     0
    27    0     2      9.3    0.205     0
    28    0     2      6.5    0.129     0
    29    0     2      9.1    0.201     0
    30    0     2      1.9    0.000     0
    31    0     2      4.9    0.082     0
    32    0     2      2.0    0.003     0
    33    0     2      1.9    0.000     0
    34    0     2     10.2    0.231     0
    35    0     2     10.0    0.224     0
    36    0     2      7.1    0.144     0
    37    0     2      2.7    0.021     0
    38    0     2      5.5    0.100     0
    39    0     2      4.1    0.061     0
    40    0     2     11.1    0.255     0
    41    0     2      2.0    0.003     0
    42    0     2      8.4    0.181     0
    43    0     2      2.1    0.004     0
    44    0     2     10.0    0.224     0
    45    0     2     10.0    0.224     0
    46    0     2      8.9    0.194     0
    47    0     2      2.7    0.022     0
    48    0     2      2.8    0.025     0
    49    0     2     10.3    0.235     0
    50    0     2     11.3    0.262     0
    51    0     2      1.9    0.000     0
    52    0     2      8.2    0.174     0
    53    0     2     10.5    0.239     0
    54    0     2      4.0    0.057     0
    55    0     2     10.3    0.232     0
    56    0     2     10.0    0.224     0
    57    0     2      1.9    0.000     0
    58    0     2      7.7    0.160     0
    59    0     2      1.9    0.000     0
    60    0     2      9.9    0.223     0
    61    0     2      6.4    0.125     0
    62    0     2      4.0    0.057     0
    63    0     2      2.0    0.001     0
    64    0     2      9.4    0.208     0
    65    0     2     37.8    1.000     0
    66    0     2      4.6    0.076     0
    67    0     2      7.5    0.155     0
    68    0     2     10.2    0.230     0
    69    0     2      9.9    0.224     0
    70    0     2      9.9    0.221     0
    71    0     2     13.4    0.321     0
    72    0     2     10.0    0.225     0
    73    0     2     10.0    0.224     0
    74    0     2     10.3    0.235     0
    75    0     2      6.0    0.112     0
    76    0     2     10.0    0.224     0
    77    0     2     10.6    0.243     0
    78    0     2      6.4    0.124     0
    79    0     2     10.1    0.227     0
    80    0     2      1.9    0.000     0
    81    0     2      6.5    0.126     0
    82    0     2      7.8    0.165     0
    83    0     2      2.0    0.001     0
    84    0     2      7.6    0.158     0
    85    0     2      1.9    0.001     0
    86    0     2      4.4    0.069     0
    87    0     2      6.5    0.127     0
    88    0     2     11.7    0.272     0
    89    0     2      4.2    0.063     0
    90    0     2     10.1    0.228     0
    91    0     2      3.9    0.056     0
    92    0     2      1.9    0.000     0
    93    0     2     22.9    0.585     0
    94    0     2      3.1    0.033     0
    95    0     2      7.6    0.159     0
    96    0     2     10.0    0.226     0
    97    0     2      2.0    0.001     0
    98    0     2      7.4    0.151     0
    99    0     2      1.9    0.000     0
   100    0     2      2.0    0.003     0
   101    0     2      1.9    0.000     0
   102    0     2      7.7    0.161     0
   103    0     2      2.0    0.002     0
   104    0     2      3.4    0.042     0
   105    0     2      7.6    0.158     0
   106    0     2      4.8    0.079     0
   107    0     2     10.0    0.224     0
   108    0     2     10.3    0.234     0
   109    0     2     10.3    0.235     0
   110    0     2      8.8    0.191     0
   111    0     2     10.0    0.225     0
   112    0     2      2.7    0.023     0
