
 ****** Running generation 0 ******
Run done
Enum done
Population's average fitness: 8.28276 stdev: 2.79214
Best fitness: 11.78953 - size: (6, 8) - species 57 - id 57
Average adjusted fitness: 0.624
Mean genetic distance 3.127, standard deviation 0.324
Population of 300 members in 151 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2     10.0    0.810     0
     2    0     2     10.0    0.803     0
     3    0     2     10.0    0.803     0
     4    0     2      6.4    0.424     0
     5    0     2     10.0    0.803     0
     6    0     2     10.0    0.803     0
     7    0     2     10.0    0.803     0
     8    0     2      8.5    0.643     0
     9    0     2     10.0    0.804     0
    10    0     2     10.0    0.803     0
    11    0     2      2.5    0.000     0
    12    0     2      9.8    0.790     0
    13    0     2      4.3    0.202     0
    14    0     2     10.0    0.803     0
    15    0     2      7.0    0.481     0
    16    0     2     10.0    0.803     0
    17    0     2     10.0    0.803     0
    18    0     2      5.8    0.362     0
    19    0     2      2.5    0.000     0
    20    0     2     10.0    0.803     0
    21    0     2      2.5    0.000     0
    22    0     2     10.0    0.803     0
    23    0     2      2.5    0.000     0
    24    0     2     10.0    0.803     0
    25    0     2      4.8    0.255     0
    26    0     2      2.7    0.024     0
    27    0     2      2.5    0.000     0
    28    0     2     10.0    0.803     0
    29    0     2     10.0    0.803     0
    30    0     2      3.3    0.085     0
    31    0     2      8.7    0.672     0
    32    0     2      6.8    0.468     0
    33    0     2     10.0    0.804     0
    34    0     2     10.0    0.803     0
    35    0     2     10.0    0.803     0
    36    0     2     10.0    0.803     0
    37    0     2     10.0    0.805     0
    38    0     2     10.0    0.803     0
    39    0     2     10.0    0.803     0
    40    0     2     10.0    0.803     0
    41    0     2     10.0    0.803     0
    42    0     2     10.0    0.803     0
    43    0     2      9.8    0.788     0
    44    0     2      6.3    0.411     0
    45    0     2     10.0    0.803     0
    46    0     2     10.0    0.803     0
    47    0     2      9.8    0.791     0
    48    0     2      8.3    0.623     0
    49    0     2     10.0    0.803     0
    50    0     2     10.0    0.803     0
    51    0     2     10.0    0.803     0
    52    0     2      2.5    0.001     0
    53    0     2      9.9    0.802     0
    54    0     2      3.5    0.110     0
    55    0     2      2.5    0.000     0
    56    0     2     10.0    0.803     0
    57    0     2     11.8    1.000     0
    58    0     2     10.0    0.803     0
    59    0     2      6.4    0.419     0
    60    0     2      4.3    0.192     0
    61    0     2     10.0    0.803     0
    62    0     2      2.5    0.007     0
    63    0     2      9.7    0.778     0
    64    0     2     10.0    0.803     0
    65    0     2     10.0    0.803     0
    66    0     2     10.0    0.803     0
    67    0     2      8.0    0.598     0
    68    0     2      8.0    0.596     0
    69    0     2     10.0    0.808     0
    70    0     2     10.0    0.803     0
    71    0     2     11.0    0.914     0
    72    0     2     10.0    0.803     0
    73    0     2      6.8    0.462     0
    74    0     2     10.0    0.803     0
    75    0     2     10.0    0.803     0
    76    0     2      6.9    0.474     0
    77    0     2      2.5    0.002     0
    78    0     2     10.0    0.803     0
    79    0     2     10.0    0.803     0
