 ****** Running generation 0 ******
Runlength = 0
Population's average fitness: 7.02233 stdev: 5.43541
Best fitness: 60.87727 - size: (6, 15) - species 120 - id 120
Average adjusted fitness: 0.083
Mean genetic distance 3.189, standard deviation 0.325
Population of 301 members in 150 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2      2.4    0.003     0
     2    0     2      7.8    0.096     0
     3    0     2      4.9    0.046     0
     4    0     2     10.0    0.133     0
     5    0     2      9.8    0.130     0
     6    0     2      2.2    0.000     0
     7    0     2      6.0    0.066     0
     8    0     2     10.0    0.133     0
     9    0     2      9.8    0.130     0
    10    0     2      7.0    0.081     0
    11    0     2     10.0    0.132     0
    12    0     2      2.2    0.000     0
    13    0     2      5.5    0.056     0
    14    0     2     10.0    0.132     0
    15    0     2     10.0    0.132     0
    16    0     2      2.8    0.010     0
    17    0     2      9.1    0.118     0
    18    0     2      2.4    0.004     0
    19    0     2      9.7    0.128     0
    20    0     2      2.2    0.000     0
    21    0     2      9.9    0.132     0
    22    0     2      2.3    0.002     0
    23    0     2      3.0    0.014     0
    24    0     2      2.2    0.000     0
    25    0     2      2.4    0.003     0
    26    0     2      8.1    0.101     0
    27    0     2      7.8    0.096     0
    28    0     2      7.8    0.096     0
    29    0     2     10.0    0.132     0
    30    0     2      8.8    0.112     0
    31    0     2      9.6    0.126     0
    32    0     2      9.3    0.122     0
    33    0     2      2.2    0.000     0
    34    0     2      2.3    0.002     0
    35    0     2     10.0    0.132     0
    36    0     2     11.4    0.157     0
    37    0     2      9.7    0.128     0
    38    0     2      9.9    0.132     0
    39    0     2      2.3    0.003     0
    40    0     2     12.9    0.182     0
    41    0     2     10.1    0.134     0
    42    0     2      6.3    0.070     0
    43    0     2      2.3    0.002     0
    44    0     2      8.6    0.110     0
    45    0     2     10.9    0.149     0
    46    0     2      2.7    0.008     0
    47    0     2      4.9    0.047     0
    48    0     2      2.2    0.000     0
    49    0     2      6.1    0.067     0
    50    0     2     10.0    0.132     0
    51    0     2      7.8    0.096     0
    52    0     2      9.2    0.120     0
    53    0     2      6.1    0.066     0
    54    0     2     10.0    0.133     0
    55    0     2      2.2    0.000     0
    56    0     2      7.9    0.097     0
    57    0     2      9.9    0.132     0
    58    0     2      8.0    0.100     0
    59    0     2      8.1    0.101     0
    60    0     2      6.5    0.073     0
    61    0     2     10.0    0.132     0
    62    0     2      2.8    0.010     0
    63    0     2      8.5    0.108     0
    64    0     2      2.3    0.002     0
    65    0     2      6.0    0.066     0
    66    0     2      9.9    0.131     0
    67    0     2      7.8    0.096     0
    68    0     2      2.2    0.000     0
    69    0     2      7.8    0.096     0
    70    0     2      9.9    0.132     0
    71    0     2      2.2    0.000     0
    72    0     2      2.8    0.011     0
    73    0     2      2.2    0.000     0
    74    0     2      6.2    0.069     0
    75    0     2     10.0    0.132     0
    76    0     2      9.8    0.130     0
