 ****** Running generation 0 ******
Runlength = 0
Population's average fitness: 6.90589 stdev: 7.05898
Best fitness: 70.26338 - size: (6, 15) - species 144 - id 144
Average adjusted fitness: 0.078
Mean genetic distance 3.173, standard deviation 0.310
Population of 301 members in 150 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2      1.6    0.001     0
     2    0     2      4.5    0.043     0
     3    0     2      1.6    0.001     0
     4    0     2      5.8    0.062     0
     5    0     2      1.6    0.000     0
     6    0     2      4.9    0.049     0
     7    0     2     10.0    0.122     0
     8    0     2      4.1    0.037     0
     9    0     2      8.6    0.102     0
    10    0     2     10.0    0.122     0
    11    0     2     10.0    0.122     0
    12    0     2      5.8    0.062     0
    13    0     2      3.8    0.032     0
    14    0     2     10.1    0.124     0
    15    0     2     10.2    0.126     0
    16    0     2     10.2    0.126     0
    17    0     2      5.9    0.064     0
    18    0     2      3.0    0.021     0
    19    0     2     10.0    0.123     0
    20    0     2     14.8    0.193     0
    21    0     2      7.2    0.082     0
    22    0     2      1.6    0.000     0
    23    0     2      1.6    0.000     0
    24    0     2     10.2    0.126     0
    25    0     2      5.1    0.052     0
    26    0     2      1.8    0.004     0
    27    0     2      1.6    0.001     0
    28    0     2      1.6    0.000     0
    29    0     2      8.1    0.096     0
    30    0     2     10.7    0.133     0
    31    0     2     10.3    0.127     0
    32    0     2     10.2    0.127     0
    33    0     2      1.6    0.000     0
    34    0     2      4.9    0.049     0
    35    0     2     47.2    0.665     0
    36    0     2      6.0    0.065     0
    37    0     2      5.7    0.061     0
    38    0     2      3.1    0.023     0
    39    0     2      5.8    0.062     0
    40    0     2      5.8    0.062     0
    41    0     2      9.9    0.122     0
    42    0     2      1.7    0.002     0
    43    0     2      4.8    0.048     0
    44    0     2      5.6    0.058     0
    45    0     2      8.4    0.100     0
    46    0     2     10.0    0.122     0
    47    0     2      4.8    0.048     0
    48    0     2      2.3    0.011     0
    49    0     2      9.8    0.120     0
    50    0     2      1.6    0.001     0
    51    0     2      2.8    0.019     0
    52    0     2      1.6    0.000     0
    53    0     2     10.0    0.122     0
    54    0     2      5.0    0.050     0
    55    0     2      3.5    0.028     0
    56    0     2      1.7    0.002     0
    57    0     2     10.0    0.122     0
    58    0     2      4.0    0.036     0
    59    0     2      4.8    0.048     0
    60    0     2      1.7    0.003     0
    61    0     2     10.1    0.124     0
    62    0     2      1.6    0.000     0
    63    0     2     10.0    0.122     0
    64    0     2      7.8    0.091     0
    65    0     2      8.7    0.105     0
    66    0     2      9.7    0.118     0
    67    0     2      3.1    0.023     0
    68    0     2      1.5    0.000     0
    69    0     2      4.9    0.049     0
    70    0     2      1.9    0.005     0
    71    0     2      4.8    0.047     0
    72    0     2     10.2    0.126     0
    73    0     2      5.8    0.062     0
    74    0     2     10.0    0.123     0
    75    0     2      4.0    0.035     0
    76    0     2      9.0    0.109     0
    77    0     2     10.4    0.129     0
    78    0     2      9.1    0.110     0
    79    0     2      6.1    0.066     0
    80    0     2      1.6    0.001     0
    81    0     2      8.4    0.099     0
    82    0     2     10.0    0.122     0
    83    0     2      1.6    0.001     0
    84    0     2      7.8    0.091     0
    85    0     2      7.9    0.092     0
    86    0     2      5.8    0.062     0
    87    0     2     10.0    0.122     0
    88    0     2      1.7    0.002     0
    89    0     2      5.0    0.050     0
    90    0     2     10.0    0.122     0
    91    0     2      5.8    0.062     0
    92    0     2      2.6    0.015     0
    93    0     2      7.6    0.088     0
    94    0     2      6.8    0.077     0
    95    0     2      1.6    0.001     0
    96    0     2     11.0    0.137     0
    97    0     2      2.7    0.016     0
    98    0     2      5.8    0.062     0
    99    0     2      5.5    0.057     0
   100    0     2     10.5    0.130     0
   101    0     2      4.9    0.049     0
   102    0     2     10.0    0.122     0
   103    0     2      5.4    0.057     0
   104    0     2      2.7    0.017     0
   105    0     2      1.6    0.001     0
   106    0     2      8.3    0.098     0
   107    0     2      9.9    0.122     0
   108    0     2      9.9    0.122     0
   109    0     2      4.8    0.048     0
   110    0     2     10.4    0.129     0
   111    0     2      1.8    0.004     0
   112    0     2     10.0    0.122     0
   113    0     2      2.8    0.018     0
   114    0     2     10.0    0.122     0
   115    0     2     10.0    0.122     0
   116    0     2      3.4    0.027     0
   117    0     2      1.6    0.000     0
   118    0     2      9.1    0.111     0
   119    0     2     10.0    0.122     0
   120    0     2      1.6    0.000     0
   121    0     2      2.3    0.012     0
   122    0     2      8.1    0.095     0
   123    0     2      1.6    0.000     0
   124    0     2     11.6    0.146     0
   125    0     2     10.0    0.122     0
   126    0     2      1.6    0.000     0
   127    0     2      9.8    0.119     0
   128    0     2      8.7    0.104     0
   129    0     2     10.2    0.126     0
   130    0     2      6.4    0.071     0
   131    0     2     10.0    0.122     0
   132    0     2      4.8    0.048     0
   133    0     2     10.3    0.127     0
   134    0     2      1.7    0.003     0
   135    0     2      9.8    0.120     0
   136    0     2     10.0    0.122     0
   137    0     2      1.6    0.000     0
   138    0     2     10.9    0.136     0
   139    0     2      3.2    0.024     0
   140    0     2      6.2    0.068     0
   141    0     2      2.1    0.008     0
   142    0     2     13.6    0.175     0
   143    0     2     10.0    0.122     0
   144    0     3     70.3    1.000     0
   145    0     2      4.1    0.037     0
   146    0     2      6.9    0.079     0
   147    0     2      3.0    0.021     0
   148    0     2      1.6    0.001     0
   149    0     2      5.7    0.061     0
   150    0     2      3.5    0.029     0
Total extinctions: 0
Generation time: 1.654 sec
 ****** Running generation 1 ******
