 ****** Running generation 0 ******
Runlength = 0
Population's average fitness: 7.20912 stdev: 8.80535
Best fitness: 97.75339 - size: (6, 15) - species 74 - id 74
Average adjusted fitness: 0.058
Mean genetic distance 3.175, standard deviation 0.320
Population of 302 members in 150 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2      7.5    0.061     0
     2    0     2      1.7    0.000     0
     3    0     2      8.1    0.067     0
     4    0     2      1.7    0.000     0
     5    0     2     10.0    0.086     0
     6    0     2      7.5    0.061     0
     7    0     2      5.1    0.036     0
     8    0     2      5.2    0.037     0
     9    0     2      1.7    0.000     0
    10    0     2      4.9    0.034     0
    11    0     2      6.4    0.049     0
    12    0     2      9.8    0.084     0
    13    0     2      1.7    0.000     0
    14    0     2      9.7    0.083     0
    15    0     2      1.7    0.000     0
    16    0     2      5.0    0.034     0
    17    0     2     10.2    0.089     0
    18    0     2      2.5    0.008     0
    19    0     2      4.6    0.030     0
    20    0     2      3.6    0.020     0
    21    0     2     10.0    0.087     0
    22    0     2      1.7    0.000     0
    23    0     2      3.0    0.014     0
    24    0     2      4.7    0.032     0
    25    0     2      6.2    0.047     0
    26    0     2     10.0    0.086     0
    27    0     2      5.9    0.044     0
    28    0     2      1.7    0.000     0
    29    0     2      6.2    0.047     0
    30    0     2      6.6    0.051     0
    31    0     2      4.9    0.034     0
    32    0     2     10.0    0.086     0
    33    0     2      8.0    0.066     0
    34    0     2      1.7    0.001     0
    35    0     2      9.9    0.085     0
    36    0     2      5.7    0.042     0
    37    0     2      2.2    0.005     0
    38    0     2      9.9    0.086     0
    39    0     2     10.2    0.089     0
    40    0     2      3.8    0.023     0
    41    0     2      5.0    0.035     0
    42    0     2      1.7    0.000     0
    43    0     2     10.0    0.086     0
    44    0     2      5.8    0.043     0
    45    0     2     11.4    0.102     0
    46    0     2      5.7    0.042     0
    47    0     2      9.9    0.086     0
    48    0     2     10.0    0.086     0
    49    0     2      5.3    0.038     0
    50    0     2      5.0    0.035     0
    51    0     2      9.8    0.084     0
    52    0     2      9.7    0.083     0
    53    0     2      9.9    0.086     0
    54    0     2      9.9    0.086     0
    55    0     2      8.7    0.073     0
    56    0     2      9.7    0.083     0
    57    0     2     10.0    0.086     0
