 ****** Running generation 0 ******
Average fitness:
Failed mean
Population's average fitness: 36.28403 stdev: 31.52346
Best fitness: 98.30626 - size: (6, 15) - species 82 - id 82
Average adjusted fitness: 0.351
Mean genetic distance 3.168, standard deviation 0.313
Population of 300 members in 152 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2     14.7    0.125     0
     2    0     2     97.7    0.994     0
     3    0     2     28.1    0.265     0
     4    0     2     97.6    0.993     0
     5    0     2     26.1    0.245     0
     6    0     2     11.1    0.088     0
     7    0     2     11.1    0.087     0
     8    0     2     12.7    0.104     0
     9    0     2     19.3    0.173     0
    10    0     2     39.1    0.380     0
    11    0     2     11.1    0.087     0
    12    0     2     31.5    0.301     0
    13    0     2     60.0    0.600     0
    14    0     2     93.4    0.948     0
    15    0     2     83.1    0.841     0
    16    0     2     16.4    0.142     0
    17    0     2     15.2    0.130     0
    18    0     2     31.5    0.300     0
    19    0     2     84.7    0.857     0
    20    0     2     13.1    0.108     0
    21    0     2     20.3    0.183     0
    22    0     1     11.1    0.087     0
    23    0     2     13.4    0.111     0
    24    0     2     65.8    0.659     0
    25    0     2     90.7    0.920     0
    26    0     2     18.4    0.164     0
    27    0     2     28.9    0.274     0
    28    0     2     31.5    0.301     0
    29    0     2     19.1    0.171     0
    30    0     2     30.5    0.291     0
    31    0     2     28.7    0.272     0
    32    0     2     11.1    0.087     0
    33    0     2      8.6    0.061     0
    34    0     2     10.8    0.084     0
    35    0     2     11.1    0.087     0
    36    0     2     15.5    0.133     0
    37    0     2     26.3    0.246     0
    38    0     2     98.1    0.998     0
    39    0     2     29.0    0.275     0
    40    0     2     97.4    0.991     0
    41    0     2     11.3    0.090     0
    42    0     2     17.4    0.153     0
    43    0     2      2.8    0.000     0
    44    0     2     92.2    0.936     0
    45    0     2      9.1    0.067     0
    46    0     2     11.1    0.088     0
    47    0     2     11.1    0.087     0
    48    0     2     19.3    0.173     0
    49    0     2     97.3    0.989     0
    50    0     2     11.1    0.087     0
    51    0     2     39.8    0.387     0
    52    0     2     72.8    0.733     0
    53    0     2     10.7    0.083     0
    54    0     2     31.7    0.303     0
    55    0     2     31.3    0.298     0
    56    0     2     97.7    0.994     0
    57    0     2     11.1    0.087     0
    58    0     2     17.8    0.157     0
    59    0     2     26.4    0.247     0
    60    0     2     17.3    0.152     0
    61    0     1     11.3    0.089     0
    62    0     2     11.3    0.089     0
    63    0     2     11.1    0.087     0
    64    0     2     11.1    0.087     0
    65    0     2     75.6    0.762     0
    66    0     2     42.7    0.418     0
    67    0     2     14.6    0.123     0
    68    0     2     30.7    0.293     0
    69    0     2     31.5    0.301     0
    70    0     2     11.7    0.093     0
    71    0     2     19.7    0.177     0
    72    0     2     97.4    0.990     0
    73    0     2     23.2    0.214     0
    74    0     2     98.2    0.999     0
    75    0     2     11.1    0.087     0
    76    0     2     44.2    0.434     0
    77    0     2     78.3    0.790     0
    78    0     2     11.1    0.087     0
    79    0     2     58.9    0.587     0
    80    0     2     19.7    0.177     0
    81    0     2     28.6    0.270     0
    82    0     2     98.3    1.000     0
    83    0     2     11.4    0.090     0
    84    0     2     97.3    0.989     0
    85    0     2     29.0    0.275     0
    86    0     2     10.9    0.086     0
    87    0     2     12.8    0.105     0
    88    0     2     12.1    0.098     0
    89    0     2     13.0    0.107     0
    90    0     2     97.9    0.996     0
    91    0     2     12.2    0.099     0
    92    0     2     24.5    0.227     0
    93    0     2     10.4    0.080     0
    94    0     2     26.9    0.252     0
    95    0     2     13.3    0.111     0
    96    0     2     19.2    0.172     0
    97    0     2     98.0    0.997     0
    98    0     2     12.6    0.102     0
    99    0     2     11.5    0.091     0
   100    0     2     29.0    0.275     0
   101    0     2     13.8    0.115     0
   102    0     2     14.0    0.117     0
   103    0     2     18.8    0.167     0
   104    0     2     11.6    0.093     0
   105    0     2     98.2    0.999     0
   106    0     2     68.0    0.683     0
   107    0     2     67.6    0.678     0
   108    0     2     11.4    0.090     0
   109    0     2     25.4    0.237     0
   110    0     2     29.0    0.275     0
   111    0     2     14.1    0.118     0
   112    0     2     97.8    0.995     0
   113    0     2     94.1    0.956     0
   114    0     2     91.3    0.927     0
   115    0     2     16.9    0.148     0
   116    0     2     11.1    0.088     0
   117    0     2      9.8    0.074     0
   118    0     2     11.1    0.087     0
   119    0     2     12.7    0.104     0
   120    0     2     17.0    0.149     0
   121    0     2     88.6    0.899     0
   122    0     2     30.9    0.295     0
   123    0     2     38.6    0.375     0
   124    0     2     96.8    0.984     0
   125    0     2     35.6    0.344     0
   126    0     2     44.6    0.438     0
   127    0     2     31.5    0.301     0
   128    0     2      9.1    0.066     0
   129    0     2     13.3    0.110     0
   130    0     2     23.2    0.214     0
   131    0     2     98.2    0.999     0
   132    0     2     12.5    0.102     0
   133    0     2     10.2    0.078     0
   134    0     2     83.1    0.841     0
   135    0     2     12.2    0.099     0
   136    0     2     46.2    0.455     0
   137    0     2     18.2    0.161     0
   138    0     2     10.4    0.080     0
   139    0     2     28.0    0.264     0
   140    0     2     11.6    0.092     0
   141    0     2     18.9    0.169     0
   142    0     2     78.8    0.796     0
   143    0     2     98.0    0.997     0
   144    0     2     11.8    0.094     0
   145    0     2     70.8    0.712     0
   146    0     2     13.6    0.113     0
