 ****** Running generation 0 ******
Average fitness:
Failed mean
Population's average fitness: 2393.95703 stdev: 3284.75854
Best fitness: 9438.90822 - size: (6, 15) - species 138 - id 138
Average adjusted fitness: 0.233
Mean genetic distance 3.157, standard deviation 0.321
Population of 300 members in 150 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2    378.9    0.014     0
     2    0     2   2288.1    0.222     0
     3    0     2   1108.2    0.093     0
     4    0     2    378.7    0.014     0
     5    0     2   1120.0    0.095     0
     6    0     2    378.4    0.014     0
     7    0     2   9173.3    0.971     0
     8    0     2   4350.9    0.446     0
     9    0     2    389.4    0.015     0
    10    0     2    378.7    0.014     0
    11    0     2    569.1    0.035     0
    12    0     2    443.2    0.021     0
    13    0     2    304.5    0.006     0
    14    0     2    378.6    0.014     0
    15    0     2    529.7    0.030     0
    16    0     2   1418.2    0.127     0
    17    0     2    378.9    0.014     0
    18    0     2   8255.2    0.871     0
    19    0     2   4233.7    0.433     0
    20    0     2   1837.8    0.173     0
    21    0     2    382.0    0.014     0
    22    0     2   9434.0    0.999     0
    23    0     2   9373.6    0.993     0
    24    0     2   8922.4    0.944     0
    25    0     2   1127.3    0.095     0
    26    0     2   1586.7    0.145     0
    27    0     2    790.9    0.059     0
    28    0     2    518.6    0.029     0
    29    0     2    378.4    0.014     0
    30    0     2   9438.9    1.000     0
    31    0     2    409.0    0.017     0
    32    0     2   9421.5    0.998     0
    33    0     2   1751.7    0.163     0
    34    0     2    798.2    0.060     0
    35    0     2    376.9    0.014     0
    36    0     2    385.9    0.015     0
    37    0     2    507.9    0.028     0
    38    0     2    378.4    0.014     0
    39    0     2    852.0    0.065     0
    40    0     2    761.6    0.056     0
    41    0     2    960.3    0.077     0
    42    0     2   8720.2    0.922     0
    43    0     2   9395.2    0.995     0
    44    0     2   7124.2    0.748     0
    45    0     2   6332.3    0.662     0
    46    0     2    378.9    0.014     0
    47    0     2    377.2    0.014     0
    48    0     2   9438.2    1.000     0
    49    0     2   7304.6    0.768     0
    50    0     2    379.2    0.014     0
    51    0     2   9438.9    1.000     0
    52    0     2    363.4    0.012     0
    53    0     2    343.7    0.010     0
    54    0     2   9290.5    0.984     0
    55    0     2    378.3    0.014     0
    56    0     2   9438.9    1.000     0
    57    0     2    389.0    0.015     0
    58    0     2   8382.4    0.885     0
    59    0     2    451.5    0.022     0
