 ****** Running generation 0 ******
Average fitness:
Failed mean
Failed fitness
Run done
Enum done
Population's average fitness: 6.40025 stdev: 1.89217
Best fitness: 9.92209 - size: (6, 15) - species 27 - id 27
Average adjusted fitness: 0.556
Mean genetic distance 3.169, standard deviation 0.323
Population of 300 members in 150 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2      6.1    0.523     0
     2    0     2      7.0    0.632     0
     3    0     2      5.1    0.390     0
     4    0     2      5.0    0.385     0
     5    0     2      6.4    0.551     0
     6    0     2      5.0    0.376     0
     7    0     2      5.3    0.421     0
     8    0     2      5.5    0.449     0
     9    0     2      5.1    0.387     0
    10    0     2      5.1    0.392     0
    11    0     2      7.7    0.718     0
    12    0     2      5.2    0.405     0
    13    0     2      5.4    0.433     0
    14    0     2      5.0    0.385     0
    15    0     2      5.1    0.398     0
    16    0     2      7.2    0.660     0
    17    0     2      9.9    0.999     0
    18    0     2      6.1    0.523     0
    19    0     2      5.0    0.385     0
    20    0     2      5.0    0.385     0
    21    0     2      5.0    0.385     0
    22    0     2      5.0    0.385     0
    23    0     2      5.0    0.385     0
    24    0     2      9.9    0.996     0
    25    0     2      5.5    0.442     0
    26    0     2      9.9    0.999     0
    27    0     2      9.9    1.000     0
    28    0     2      5.9    0.490     0
    29    0     2      5.0    0.385     0
    30    0     2      5.8    0.475     0
    31    0     2      5.0    0.385     0
    32    0     2      9.5    0.943     0
    33    0     2      9.8    0.981     0
    34    0     2      6.1    0.523     0
    35    0     2      5.0    0.385     0
    36    0     2      5.0    0.379     0
    37    0     2      6.2    0.530     0
    38    0     2      9.4    0.935     0
    39    0     2      9.9    0.999     0
    40    0     2      9.8    0.987     0
    41    0     2      2.0    0.000     0
    42    0     2      5.0    0.385     0
    43    0     2      9.9    0.999     0
    44    0     2      9.9    0.999     0
    45    0     2      3.4    0.179     0
    46    0     2      5.0    0.383     0
    47    0     2      5.0    0.385     0
    48    0     2      6.1    0.521     0
    49    0     2      5.6    0.453     0
    50    0     2      5.1    0.397     0
    51    0     2      5.0    0.385     0
    52    0     2      5.0    0.385     0
    53    0     2      7.1    0.649     0
    54    0     2      5.0    0.385     0
    55    0     2      5.0    0.385     0
    56    0     2      8.0    0.756     0
    57    0     2      5.0    0.385     0
    58    0     2      5.2    0.405     0
    59    0     2      5.7    0.473     0
    60    0     2      5.0    0.384     0
    61    0     2      9.9    0.999     0
    62    0     2      5.7    0.462     0
    63    0     2      5.1    0.396     0
    64    0     2      5.2    0.408     0
    65    0     2      9.9    0.999     0
    66    0     2      5.2    0.402     0
    67    0     2      5.1    0.386     0
    68    0     2      6.2    0.532     0
    69    0     2      5.2    0.405     0
    70    0     2      5.0    0.385     0
    71    0     2      6.3    0.547     0
    72    0     2      9.8    0.987     0
    73    0     2      5.0    0.385     0
    74    0     2      5.0    0.384     0
    75    0     2      6.3    0.549     0
    76    0     2      9.1    0.892     0
    77    0     2      5.0    0.385     0
    78    0     2      5.3    0.424     0
    79    0     2      9.9    0.999     0
    80    0     2      5.1    0.396     0
    81    0     2      7.7    0.717     0
    82    0     2      5.0    0.385     0
    83    0     2      9.9    0.999     0
    84    0     2      5.0    0.385     0
    85    0     2      5.0    0.385     0
    86    0     2      5.0    0.385     0
    87    0     2      5.0    0.385     0
    88    0     2      9.8    0.987     0
    89    0     2      5.0    0.385     0
    90    0     2      5.0    0.383     0
    91    0     2      7.8    0.738     0
    92    0     2      5.0    0.385     0
    93    0     2      7.9    0.749     0
    94    0     2      9.9    0.999     0
    95    0     2      9.4    0.935     0
    96    0     2      5.9    0.498     0
    97    0     2      5.2    0.407     0
    98    0     2      4.8    0.351     0
    99    0     2      5.1    0.387     0
   100    0     2      5.0    0.385     0
   101    0     2      5.1    0.388     0
   102    0     2      7.4    0.689     0
   103    0     2      5.0    0.385     0
   104    0     2      9.2    0.912     0
   105    0     2      5.1    0.397     0
   106    0     2      6.3    0.543     0
   107    0     2      5.2    0.405     0
   108    0     2      5.3    0.420     0
   109    0     2      5.9    0.493     0
   110    0     2      7.0    0.630     0
   111    0     2      5.0    0.386     0
   112    0     2      9.7    0.973     0
   113    0     2      9.8    0.979     0
   114    0     2      8.7    0.840     0
   115    0     2      5.0    0.385     0
   116    0     2      7.1    0.640     0
   117    0     2      5.0    0.385     0
   118    0     2      6.6    0.578     0
   119    0     2      6.6    0.576     0
   120    0     2      7.9    0.748     0
   121    0     2      5.8    0.478     0
   122    0     2      5.9    0.498     0
   123    0     2      5.1    0.394     0
   124    0     2      5.0    0.384     0
   125    0     2      8.7    0.841     0
   126    0     2      9.7    0.973     0
   127    0     2      9.9    0.999     0
   128    0     2      5.9    0.495     0
   129    0     2      5.0    0.385     0
   130    0     2      5.0    0.385     0
   131    0     2      5.0    0.385     0
   132    0     2      5.1    0.389     0
   133    0     2      5.0    0.385     0
   134    0     2      5.1    0.390     0
   135    0     2      9.9    0.999     0
   136    0     2      8.1    0.768     0
   137    0     2      9.9    0.999     0
   138    0     2      5.0    0.385     0
   139    0     2      9.9    0.994     0
   140    0     2      5.0    0.380     0
   141    0     2      5.1    0.394     0
   142    0     2      5.5    0.444     0
   143    0     2      9.8    0.990     0
   144    0     2      8.9    0.868     0
   145    0     2      6.2    0.536     0
   146    0     2      5.0    0.385     0
   147    0     2      5.0    0.385     0
   148    0     2      5.0    0.385     0
   149    0     2      5.0    0.385     0
   150    0     2      5.1    0.397     0
Total extinctions: 0
Generation time: 3.987 sec
 ****** Running generation 1 ******
Average fitness:
6.400253939833175
Best fitness:
9.922091856483599
Failed fitness
Run done
Enum done
Population's average fitness: 6.12942 stdev: 2.02661
Best fitness: 9.91638 - size: (6, 15) - species 90 - id 90
Average adjusted fitness: 0.553
Mean genetic distance 3.169, standard deviation 0.323
Population of 300 members in 150 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    1     2      5.2    0.414     1
     2    1     2      6.2    0.503     1
     3    1     2      4.8    0.391     1
     4    1     2      4.7    0.388     1
     5    1     2      4.8    0.390     1
     6    1     2      5.1    0.416     0
     7    1     2      7.1    0.562     0
     8    1     2      5.2    0.413     1
     9    1     2      6.0    0.514     0
    10    1     2      4.7    0.383     1
    11    1     2      9.7    0.853     0
    12    1     2      6.0    0.464     0
    13    1     2      5.4    0.465     0
    14    1     2      5.6    0.441     0
    15    1     2      5.8    0.454     0
    16    1     2      9.9    0.788     0
    17    1     2      9.9    0.662     1
    18    1     2      9.9    0.720     0
    19    1     2      4.8    0.392     1
    20    1     2      6.6    0.497     0
    21    1     2      5.7    0.448     0
    22    1     2      4.9    0.396     1
    23    1     2      4.7    0.388     1
    24    1     2      9.9    0.986     1
    25    1     2      6.5    0.571     0
    26    1     2      9.9    0.697     1
    27    1     2      9.9    0.639     1
    28    1     2      8.7    0.646     0
    29    1     2      4.7    0.388     1
    30    1     2      5.0    0.419     1
    31    1     2      4.7    0.388     1
    32    1     2      9.8    0.967     0
    33    1     2      9.5    0.742     1
    34    1     2      5.2    0.415     1
    35    1     2      4.7    0.388     1
    36    1     2      4.9    0.395     1
    37    1     2      6.1    0.524     1
    38    1     2      9.4    0.934     1
    39    1     2      9.9    0.999     1
    40    1     2      9.9    0.999     0
    41    1     2      7.4    0.392     0
    42    1     2      4.7    0.388     1
    43    1     2      9.9    0.720     1
    44    1     2      9.9    0.999     1
    45    1     2      7.1    0.529     0
    46    1     2      4.8    0.387     1
    47    1     2      4.7    0.388     1
    48    1     2      5.2    0.433     1
    49    1     2      5.4    0.429     1
    50    1     2      4.7    0.384     1
