 ****** Running generation 0 ******
Average fitness:
Failed mean
Failed fitness
Run done
Enum done
Population's average fitness: 3.16917 stdev: 1.35192
Best fitness: 6.30327 - size: (6, 15) - species 65 - id 65
Average adjusted fitness: 0.406
Mean genetic distance 3.149, standard deviation 0.327
Population of 300 members in 152 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2      4.2    0.596     0
     2    0     2      3.7    0.504     0
     3    0     2      1.5    0.085     0
     4    0     2      1.1    0.007     0
     5    0     2      4.7    0.693     0
     6    0     2      4.2    0.599     0
     7    0     2      4.2    0.599     0
     8    0     2      1.1    0.009     0
     9    0     2      4.2    0.605     0
    10    0     2      4.2    0.599     0
    11    0     2      3.9    0.549     0
    12    0     2      4.4    0.645     0
    13    0     2      4.2    0.599     0
    14    0     2      1.0    0.000     0
    15    0     2      4.2    0.599     0
    16    0     2      2.1    0.210     0
    17    0     2      3.7    0.508     0
    18    0     2      3.9    0.553     0
    19    0     2      1.0    0.000     0
    20    0     2      1.8    0.152     0
    21    0     2      4.2    0.599     0
    22    0     2      1.0    0.000     0
    23    0     2      4.2    0.597     0
    24    0     2      1.7    0.126     0
    25    0     2      4.2    0.604     0
    26    0     2      4.2    0.599     0
    27    0     2      2.8    0.337     0
    28    0     2      1.0    0.000     0
    29    0     2      4.7    0.704     0
    30    0     2      4.2    0.600     0
    31    0     2      4.2    0.599     0
    32    0     2      1.2    0.027     0
    33    0     2      4.2    0.599     0
    34    0     2      1.0    0.002     0
    35    0     2      4.3    0.611     0
    36    0     2      2.1    0.207     0
    37    0     2      4.2    0.600     0
    38    0     2      2.8    0.336     0
    39    0     2      4.2    0.592     0
    40    0     2      4.2    0.600     0
    41    0     2      2.7    0.312     0
    42    0     2      2.5    0.287     0
    43    0     2      4.9    0.740     0
    44    0     2      4.1    0.574     0
    45    0     2      2.8    0.328     0
    46    0     2      2.8    0.332     0
    47    0     2      4.2    0.600     0
    48    0     2      4.1    0.580     0
    49    0     1      4.2    0.602     0
    50    0     2      4.4    0.633     0
    51    0     2      2.8    0.342     0
    52    0     2      4.2    0.599     0
    53    0     2      4.2    0.598     0
    54    0     2      4.2    0.608     0
    55    0     2      1.1    0.019     0
    56    0     2      1.0    0.000     0
    57    0     2      4.1    0.586     0
    58    0     2      4.2    0.600     0
    59    0     2      4.2    0.599     0
    60    0     2      4.3    0.620     0
    61    0     2      4.2    0.599     0
    62    0     2      4.2    0.599     0
    63    0     2      4.2    0.601     0
    64    0     2      1.0    0.000     0
    65    0     2      6.3    1.000     0
    66    0     2      1.3    0.054     0
    67    0     2      1.0    0.000     0
    68    0     2      2.2    0.231     0
    69    0     2      1.3    0.044     0
    70    0     2      4.2    0.600     0
    71    0     2      3.0    0.366     0
    72    0     2      2.9    0.364     0
    73    0     2      4.2    0.599     0
    74    0     2      4.2    0.599     0
    75    0     2      4.2    0.600     0
    76    0     2      4.2    0.600     0
    77    0     2      1.0    0.000     0
    78    0     2      4.2    0.599     0
    79    0     2      4.2    0.599     0
    80    0     2      4.2    0.605     0
    81    0     2      4.2    0.599     0
    82    0     2      1.0    0.001     0
    83    0     2      4.2    0.601     0
    84    0     2      4.2    0.595     0
    85    0     2      2.0    0.180     0
    86    0     2      4.0    0.572     0
    87    0     2      4.2    0.597     0
    88    0     2      4.2    0.599     0
    89    0     2      2.0    0.194     0
    90    0     2      1.1    0.018     0
    91    0     2      1.0    0.000     0
    92    0     2      3.9    0.544     0
    93    0     2      2.9    0.346     0
    94    0     2      4.1    0.587     0
    95    0     2      4.2    0.599     0
    96    0     2      1.0    0.000     0
    97    0     2      4.1    0.586     0
    98    0     2      1.0    0.000     0
    99    0     2      1.0    0.004     0
   100    0     2      4.2    0.599     0
   101    0     1      2.2    0.216     0
   102    0     2      3.6    0.494     0
   103    0     2      2.9    0.353     0
   104    0     2      4.1    0.587     0
   105    0     2      4.2    0.599     0
   106    0     2      4.2    0.599     0
   107    0     2      4.2    0.602     0
   108    0     2      4.2    0.600     0
   109    0     2      3.2    0.414     0
   110    0     2      4.7    0.693     0
   111    0     2      1.0    0.001     0
   112    0     2      4.2    0.600     0
   113    0     2      3.1    0.393     0
   114    0     2      5.0    0.751     0
   115    0     2      4.2    0.599     0
   116    0     2      4.2    0.601     0
   117    0     2      1.0    0.000     0
   118    0     2      1.3    0.044     0
   119    0     2      1.1    0.011     0
   120    0     2      3.2    0.405     0
   121    0     2      1.0    0.000     0
   122    0     2      2.7    0.325     0
   123    0     2      1.0    0.000     0
   124    0     2      4.2    0.599     0
   125    0     2      1.8    0.152     0
   126    0     2      4.2    0.599     0
   127    0     2      3.4    0.445     0
   128    0     2      1.5    0.092     0
   129    0     2      1.0    0.000     0
   130    0     2      1.0    0.003     0
   131    0     2      4.1    0.580     0
   132    0     2      3.2    0.404     0
   133    0     2      1.2    0.027     0
   134    0     2      1.0    0.004     0
   135    0     2      3.0    0.366     0
   136    0     2      4.2    0.599     0
   137    0     2      4.2    0.602     0
   138    0     2      1.0    0.000     0
   139    0     2      3.6    0.479     0
   140    0     2      4.4    0.645     0
   141    0     2      4.8    0.709     0
   142    0     2      1.1    0.005     0
   143    0     2      3.4    0.454     0
   144    0     2      2.8    0.336     0
   145    0     2      4.2    0.599     0
   146    0     2      4.2    0.599     0
   147    0     2      4.6    0.679     0
   148    0     2      4.1    0.586     0
   149    0     2      1.1    0.005     0
   150    0     2      4.2    0.600     0
   151    0     1       --       --     0
   152    0     1       --       --     0
Total extinctions: 0
Generation time: 3.810 sec
 ****** Running generation 1 ******
Average fitness:
3.1691720057884947
Best fitness:
6.3032650943478306
Failed fitness
Run done
Enum done
Population's average fitness: 3.64113 stdev: 1.89584
Best fitness: 10.02616 - size: (7, 16) - species 50 - id 290
Average adjusted fitness: 0.293
Mean genetic distance 3.147, standard deviation 0.327
Population of 304 members in 152 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    1     2      5.4    0.477     0
     2    1     2      3.7    0.152     0
     3    1     2      2.9    0.187     0
     4    1     2      1.0    0.004     1
     5    1     2      5.2    0.354     0
     6    1     2      5.4    0.285     0
     7    1     2      5.4    0.482     0
     8    1     2      1.3    0.018     0
     9    1     2      5.9    0.391     0
    10    1     2      3.2    0.237     1
    11    1     2      9.7    0.726     0
    12    1     2      3.2    0.183     1
    13    1     2      5.3    0.482     0
    14    1     2      7.5    0.359     0
    15    1     2      5.4    0.485     0
    16    1     2      3.7    0.219     0
    17    1     2      4.3    0.357     0
    18    1     2      4.7    0.283     0
    19    1     2      2.9    0.107     0
    20    1     2      1.8    0.046     1
    21    1     2      5.4    0.482     0
    22    1     2      1.0    0.000     1
    23    1     2      5.3    0.479     0
    24    1     2      3.5    0.169     0
    25    1     2      5.3    0.462     0
    26    1     2      5.4    0.482     0
    27    1     2      5.1    0.328     0
    28    1     2      5.4    0.242     0
    29    1     2      3.3    0.125     1
    30    1     2      5.3    0.329     0
    31    1     2      5.4    0.482     0
    32    1     2      1.2    0.016     1
    33    1     2      5.3    0.443     0
    34    1     2      1.7    0.041     0
    35    1     2      5.0    0.346     0
    36    1     2      2.2    0.097     0
    37    1     2      5.4    0.461     0
    38    1     2      3.5    0.244     0
    39    1     2      3.0    0.193     1
    40    1     2      5.3    0.471     0
    41    1     2      5.4    0.324     0
    42    1     2      4.6    0.272     0
    43    1     2      4.3    0.293     1
    44    1     2      5.4    0.410     0
    45    1     2      3.4    0.233     0
    46    1     2      3.2    0.241     0
    47    1     2      5.4    0.427     0
    48    1     2      5.2    0.461     0
    49    1     2      5.3    0.472     0
    50    1     2     10.0    0.723     0
    51    1     2      3.0    0.113     0
    52    1     2      5.4    0.482     0
    53    1     2      5.3    0.242     0
    54    1     2      9.8    0.714     0
    55    1     2      2.9    0.112     0
    56    1     2      1.0    0.000     1
    57    1     2      3.2    0.232     1
    58    1     2      5.7    0.491     0
    59    1     2      5.4    0.482     0
    60    1     2      5.2    0.359     0
    61    1     2      5.4    0.482     0
    62    1     2      5.4    0.482     0
    63    1     2      5.3    0.479     0
    64    1     2      1.0    0.000     1
    65    1     2      7.5    0.561     0
    66    1     2      5.4    0.261     0
    67    1     2      1.0    0.000     1
    68    1     2      2.7    0.096     0
    69    1     2      1.5    0.047     0
    70    1     2      7.3    0.592     0
    71    1     2      2.7    0.092     1
    72    1     2      3.0    0.205     0
    73    1     2      5.3    0.474     0
    74    1     2      5.4    0.482     0
    75    1     2      5.5    0.490     0
    76    1     2      5.4    0.481     0
    77    1     2      1.0    0.002     0
    78    1     2      5.4    0.482     0
    79    1     2      5.4    0.476     0
    80    1     2      4.9    0.419     0
    81    1     2      5.4    0.482     0
    82    1     2      1.0    0.000     1
    83    1     2      5.2    0.465     0
    84    1     2      5.3    0.464     0
    85    1     2      1.8    0.067     1
    86    1     2      5.4    0.418     0
    87    1     2      5.3    0.241     0
    88    1     2      5.4    0.482     0
    89    1     2      2.1    0.058     0
    90    1     2      1.1    0.007     1
    91    1     2      4.2    0.179     0
    92    1     2      4.6    0.310     0
    93    1     2      2.9    0.212     0
    94    1     2      3.0    0.216     1
    95    1     2      5.8    0.506     0
    96    1     2      3.0    0.109     0
    97    1     2      3.0    0.221     1
    98    1     2      1.4    0.022     0
    99    1     2      9.1    0.450     0
   100    1     2      5.4    0.268     0
   101    1     2      3.2    0.247     0
   102    1     2      4.7    0.204     0
   103    1     2      4.9    0.348     0
   104    1     2      3.0    0.216     1
   105    1     2      5.4    0.249     0
   106    1     2      5.2    0.468     0
   107    1     2      5.4    0.471     0
   108    1     2      5.3    0.478     0
   109    1     2      3.7    0.259     0
   110    1     2      3.2    0.233     1
   111    1     2      2.9    0.108     0
   112    1     2      5.3    0.443     0
   113    1     2      3.1    0.117     0
   114    1     2      7.2    0.463     0
   115    1     2      5.4    0.482     0
   116    1     2      3.6    0.185     1
   117    1     2      1.6    0.036     0
