 ****** Running generation 0 ******
Average fitness:
Failed mean
Failed fitness
Run done
Enum done
Population's average fitness: 2.88173 stdev: 1.28412
Best fitness: 5.87253 - size: (6, 15) - species 122 - id 122
Average adjusted fitness: 0.384
Mean genetic distance 3.156, standard deviation 0.323
Population of 300 members in 151 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2      4.1    0.633     0
     2    0     2      3.6    0.541     0
     3    0     2      4.1    0.629     0
     4    0     2      3.7    0.548     0
     5    0     2      1.0    0.000     0
     6    0     2      1.0    0.001     0
     7    0     2      1.1    0.013     0
     8    0     2      1.0    0.000     0
     9    0     2      1.3    0.058     0
    10    0     2      3.9    0.599     0
    11    0     2      3.8    0.582     0
    12    0     2      1.0    0.000     0
    13    0     2      4.1    0.635     0
    14    0     2      4.1    0.632     0
    15    0     2      1.0    0.000     0
    16    0     2      3.6    0.541     0
    17    0     2      1.0    0.003     0
    18    0     2      4.1    0.636     0
    19    0     2      1.0    0.000     0
    20    0     2      2.4    0.290     0
    21    0     2      3.6    0.542     0
    22    0     2      2.7    0.352     0
    23    0     2      1.0    0.002     0
    24    0     2      1.8    0.163     0
    25    0     2      4.1    0.635     0
    26    0     2      1.1    0.008     0
    27    0     2      3.8    0.577     0
    28    0     2      2.3    0.265     0
    29    0     2      1.5    0.106     0
    30    0     2      1.4    0.072     0
    31    0     2      2.7    0.345     0
    32    0     2      1.1    0.019     0
    33    0     2      3.7    0.562     0
    34    0     2      2.5    0.298     0
    35    0     1      2.7    0.354     0
    36    0     2      1.0    0.000     0
    37    0     2      4.1    0.634     0
    38    0     2      4.1    0.632     0
    39    0     2      4.0    0.610     0
    40    0     2      3.5    0.510     0
    41    0     2      1.0    0.000     0
    42    0     2      1.0    0.002     0
    43    0     2      3.9    0.587     0
    44    0     2      4.4    0.695     0
    45    0     2      4.1    0.633     0
    46    0     2      3.7    0.546     0
    47    0     2      4.2    0.658     0
    48    0     2      4.1    0.632     0
    49    0     2      3.2    0.456     0
    50    0     2      2.7    0.343     0
    51    0     2      4.1    0.633     0
    52    0     2      1.0    0.000     0
    53    0     2      3.9    0.589     0
    54    0     2      4.1    0.633     0
    55    0     2      4.1    0.633     0
    56    0     2      1.0    0.000     0
    57    0     2      3.6    0.540     0
    58    0     2      3.7    0.550     0
    59    0     2      4.1    0.633     0
    60    0     2      4.1    0.632     0
    61    0     2      4.6    0.731     0
    62    0     2      2.7    0.349     0
    63    0     2      1.1    0.023     0
    64    0     2      1.0    0.000     0
    65    0     2      2.2    0.235     0
    66    0     2      3.7    0.553     0
    67    0     2      2.5    0.313     0
    68    0     2      1.5    0.096     0
    69    0     2      1.0    0.000     0
    70    0     2      4.1    0.635     0
    71    0     2      1.0    0.000     0
    72    0     2      4.0    0.622     0
    73    0     2      1.2    0.043     0
    74    0     2      3.8    0.578     0
    75    0     2      4.1    0.633     0
    76    0     2      2.3    0.256     0
    77    0     2      2.9    0.389     0
    78    0     2      1.0    0.005     0
    79    0     2      3.6    0.522     0
    80    0     2      4.1    0.633     0
    81    0     2      1.0    0.000     0
    82    0     2      2.9    0.389     0
    83    0     2      3.9    0.592     0
    84    0     2      3.6    0.540     0
    85    0     2      3.0    0.416     0
    86    0     2      1.9    0.172     0
    87    0     2      3.7    0.554     0
    88    0     2      1.1    0.010     0
    89    0     2      4.1    0.627     0
    90    0     2      3.8    0.575     0
    91    0     2      3.1    0.431     0
    92    0     2      4.1    0.633     0
    93    0     2      2.9    0.394     0
    94    0     2      4.1    0.633     0
    95    0     2      1.0    0.000     0
    96    0     2      3.7    0.552     0
    97    0     2      1.1    0.007     0
    98    0     2      1.2    0.044     0
    99    0     2      1.7    0.149     0
   100    0     2      4.1    0.633     0
   101    0     2      3.6    0.540     0
   102    0     2      1.7    0.145     0
   103    0     2      4.1    0.629     0
   104    0     2      3.8    0.578     0
   105    0     2      1.6    0.124     0
   106    0     2      4.1    0.633     0
   107    0     2      3.7    0.553     0
   108    0     2      1.0    0.000     0
   109    0     2      3.6    0.541     0
   110    0     2      4.2    0.649     0
   111    0     2      2.6    0.316     0
   112    0     2      1.0    0.000     0
   113    0     2      3.5    0.520     0
   114    0     2      2.6    0.321     0
   115    0     2      4.1    0.632     0
   116    0     2      2.5    0.313     0
   117    0     2      2.5    0.296     0
   118    0     2      4.1    0.633     0
   119    0     2      3.8    0.581     0
   120    0     2      1.0    0.001     0
   121    0     2      2.2    0.244     0
   122    0     2      5.9    1.000     0
   123    0     2      2.6    0.336     0
   124    0     2      1.4    0.086     0
   125    0     2      4.0    0.620     0
   126    0     2      1.0    0.000     0
   127    0     2      1.2    0.048     0
   128    0     2      1.0    0.000     0
   129    0     2      1.0    0.000     0
   130    0     2      2.9    0.398     0
   131    0     2      3.6    0.540     0
   132    0     2      1.3    0.050     0
   133    0     2      1.0    0.000     0
   134    0     2      4.1    0.633     0
   135    0     2      4.1    0.633     0
   136    0     2      2.0    0.199     0
   137    0     2      5.5    0.924     0
   138    0     2      4.3    0.686     0
   139    0     2      4.1    0.633     0
   140    0     2      2.5    0.305     0
   141    0     2      4.1    0.644     0
   142    0     2      4.1    0.633     0
   143    0     2      3.7    0.553     0
   144    0     2      4.1    0.634     0
   145    0     2      4.1    0.634     0
   146    0     2      4.1    0.636     0
   147    0     2      4.1    0.634     0
   148    0     2      4.1    0.633     0
   149    0     2      2.5    0.308     0
   150    0     2      3.9    0.599     0
   151    0     1       --       --     0
Total extinctions: 0
Generation time: 10.075 sec
 ****** Running generation 1 ******
Average fitness:
2.881727916585699
Best fitness:
5.872534830068023
Failed fitness
Run done
Enum done
Population's average fitness: 3.95404 stdev: 2.50421
Best fitness: 15.20007 - size: (7, 16) - species 72 - id 257
Average adjusted fitness: 0.206
Mean genetic distance 3.154, standard deviation 0.324
Population of 302 members in 152 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    1     2      6.8    0.204     0
     2    1     2     10.0    0.592     0
     3    1     2      8.1    0.451     0
     4    1     2      8.4    0.407     0
     5    1     2      1.0    0.000     0
     6    1     2     11.1    0.354     0
     7    1     2      1.3    0.012     0
     8    1     2      3.2    0.076     0
     9    1     2      1.2    0.008     1
    10    1     2      5.3    0.229     0
    11    1     2      6.0    0.269     0
    12    1     2      6.7    0.202     0
    13    1     2      6.7    0.256     0
    14    1     2      6.8    0.407     0
    15    1     2      1.0    0.000     0
    16    1     2      6.3    0.236     0
    17    1     2      1.1    0.004     0
    18    1     2      7.0    0.403     0
    19    1     2      4.2    0.113     0
    20    1     2      7.6    0.295     0
    21    1     2      3.4    0.083     1
    22    1     2      4.3    0.195     0
    23    1     2      2.1    0.039     0
    24    1     2      1.8    0.045     0
    25    1     2      6.6    0.200     0
    26    1     2      1.9    0.031     0
    27    1     2      6.8    0.315     0
    28    1     2      2.0    0.034     1
    29    1     2      7.2    0.224     0
    30    1     2      2.9    0.078     0
    31    1     2      4.0    0.202     0
    32    1     2      6.3    0.206     0
    33    1     2      4.0    0.182     0
    34    1     2      6.7    0.404     0
    35    1     2      3.8    0.199     0
    36    1     2      5.0    0.140     0
    37    1     2      6.7    0.403     0
    38    1     2      5.4    0.260     0
    39    1     2      4.5    0.124     0
    40    1     2      5.7    0.193     0
    41    1     2      1.0    0.000     0
    42    1     2      1.0    0.001     0
    43    1     2      9.4    0.499     0
    44    1     2      3.7    0.159     1
    45    1     2      6.9    0.408     0
    46    1     2      3.2    0.076     1
    47    1     2      6.8    0.375     0
    48    1     2      6.9    0.386     0
    49    1     2      5.0    0.276     0
    50    1     2      3.7    0.096     0
    51    1     2      6.7    0.403     0
    52    1     2      6.7    0.202     0
    53    1     2      6.5    0.201     0
    54    1     2      6.7    0.403     0
    55    1     2      6.7    0.369     0
    56    1     2      3.9    0.103     0
    57    1     2      3.4    0.085     1
    58    1     2      3.2    0.107     1
    59    1     2      4.7    0.195     0
    60    1     2      6.9    0.411     0
    61    1     2      8.2    0.410     0
    62    1     2      5.0    0.243     0
    63    1     2      1.2    0.006     0
    64    1     2      1.6    0.021     0
    65    1     2      7.0    0.271     0
    66    1     2      2.9    0.069     1
    67    1     2      2.2    0.040     1
    68    1     2      1.5    0.029     0
    69    1     2      1.0    0.000     0
    70    1     2      6.8    0.404     0
    71    1     2      6.7    0.202     0
    72    1     2     15.2    0.699     0
    73    1     2      1.3    0.015     0
    74    1     2      6.8    0.376     0
    75    1     2      6.7    0.403     0
    76    1     2      3.6    0.142     0
    77    1     2      6.5    0.193     0
    78    1     2      6.4    0.270     0
    79    1     2      5.1    0.240     0
    80    1     2      6.7    0.404     0
    81    1     2      1.0    0.001     0
    82    1     2      4.2    0.207     0
    83    1     2      2.7    0.104     1
    84    1     2      3.4    0.165     1
    85    1     2      6.2    0.271     0
    86    1     2      1.9    0.038     0
    87    1     2      3.6    0.141     1
    88    1     2      4.9    0.140     0
    89    1     2      8.6    0.477     0
    90    1     2      2.8    0.121     1
    91    1     2      3.7    0.164     0
    92    1     2      6.8    0.406     0
    93    1     2      3.3    0.164     0
    94    1     2      6.8    0.213     0
    95    1     2      1.0    0.000     0
    96    1     2      7.0    0.298     0
    97    1     2      1.1    0.003     0
    98    1     2      1.2    0.007     1
    99    1     2      3.6    0.119     0
   100    1     2      6.7    0.299     0
