
 ****** Running generation 0 ******
Run done
Enum done
Population's average fitness: 5.51528 stdev: 7.16121
Best fitness: 76.11615 - size: (6, 15) - species 64 - id 64
Average adjusted fitness: 0.060
Mean genetic distance 3.170, standard deviation 0.314
Population of 302 members in 151 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2      1.0    0.000     0
     2    0     2      8.1    0.094     0
     3    0     2      3.1    0.028     0
     4    0     2      2.1    0.015     0
     5    0     2      9.1    0.107     0
     6    0     2      5.6    0.061     0
     7    0     2      4.1    0.041     0
     8    0     2     21.0    0.266     0
     9    0     2      3.5    0.032     0
    10    0     2      3.2    0.029     0
    11    0     2      7.8    0.090     0
    12    0     2      2.9    0.025     0
    13    0     2      7.6    0.088     0
    14    0     2      2.7    0.022     0
    15    0     2      8.2    0.096     0
    16    0     2      4.0    0.039     0
    17    0     2      9.8    0.117     0
    18    0     2      4.3    0.044     0
    19    0     2      3.7    0.036     0
    20    0     2      3.4    0.032     0
    21    0     2      1.2    0.002     0
    22    0     2      1.1    0.000     0
    23    0     2      6.1    0.067     0
    24    0     2      1.1    0.001     0
    25    0     2      7.9    0.091     0
    26    0     2      8.4    0.098     0
    27    0     2      1.2    0.003     0
    28    0     2      2.3    0.018     0
    29    0     2      1.3    0.003     0
    30    0     2      1.0    0.000     0
    31    0     2      1.0    0.000     0
    32    0     2      3.7    0.036     0
    33    0     2      7.8    0.090     0
    34    0     2      1.8    0.010     0
    35    0     2      1.0    0.000     0
    36    0     2      8.7    0.102     0
    37    0     2      1.0    0.000     0
    38    0     2      6.8    0.077     0
    39    0     2      3.3    0.030     0
    40    0     2      3.7    0.035     0
    41    0     2      1.0    0.000     0
    42    0     2      3.4    0.032     0
    43    0     2      7.9    0.092     0
    44    0     2      7.7    0.089     0
    45    0     2      1.7    0.009     0
    46    0     2      7.8    0.090     0
    47    0     2      7.2    0.082     0
    48    0     2      9.6    0.115     0
    49    0     2      1.3    0.003     0
    50    0     2      1.0    0.000     0
    51    0     2      1.0    0.000     0
    52    0     2     34.6    0.447     0
    53    0     2      9.0    0.106     0
    54    0     2      2.8    0.023     0
    55    0     2      4.0    0.040     0
    56    0     2      3.8    0.037     0
    57    0     2      9.3    0.110     0
    58    0     2      1.0    0.000     0
    59    0     2      2.0    0.013     0
    60    0     2      5.4    0.058     0
    61    0     2      7.0    0.079     0
    62    0     2      7.8    0.090     0
    63    0     2      7.9    0.091     0
    64    0     4     76.1    1.000     0
    65    0     2      3.7    0.035     0
    66    0     2      3.5    0.033     0
    67    0     2      1.5    0.006     0
    68    0     2      1.1    0.000     0
    69    0     2      5.4    0.058     0
    70    0     2      1.6    0.008     0
    71    0     2      7.9    0.092     0
    72    0     2      2.4    0.018     0
    73    0     2      3.8    0.037     0
    74    0     2      1.0    0.000     0
    75    0     2      4.0    0.040     0
    76    0     2      2.4    0.018     0
    77    0     2      7.8    0.090     0
    78    0     2      6.5    0.073     0
    79    0     2      3.4    0.032     0
    80    0     2      3.7    0.036     0
    81    0     2      3.5    0.033     0
    82    0     2      5.9    0.065     0
    83    0     2      9.0    0.106     0
    84    0     2      2.2    0.016     0
    85    0     2      1.3    0.004     0
    86    0     2      1.0    0.000     0
    87    0     2      3.4    0.032     0
    88    0     2      4.7    0.050     0
    89    0     2      2.3    0.016     0
    90    0     2      5.3    0.057     0
    91    0     2      6.8    0.077     0
    92    0     2      5.8    0.064     0
    93    0     2      3.7    0.036     0
    94    0     2      8.9    0.104     0
    95    0     2      9.1    0.108     0
    96    0     2      6.8    0.077     0
    97    0     2      2.7    0.023     0
    98    0     2      7.8    0.090     0
    99    0     2      6.5    0.073     0
   100    0     2      3.8    0.036     0
   101    0     2      7.7    0.089     0
   102    0     2      3.7    0.036     0
   103    0     2      7.7    0.089     0
   104    0     2     10.2    0.123     0
   105    0     2      4.8    0.050     0
   106    0     2     18.0    0.226     0
   107    0     2      7.5    0.086     0
   108    0     2      6.7    0.076     0
   109    0     2      5.3    0.057     0
   110    0     2      2.2    0.015     0
   111    0     2      1.8    0.010     0
   112    0     2      7.8    0.090     0
   113    0     2      1.0    0.000     0
   114    0     2      1.1    0.000     0
   115    0     2      4.9    0.052     0
   116    0     2      1.1    0.000     0
   117    0     2      7.8    0.090     0
   118    0     2      1.0    0.000     0
   119    0     2      8.7    0.103     0
   120    0     2      1.0    0.000     0
   121    0     2      7.8    0.090     0
   122    0     2      3.2    0.028     0
   123    0     2      1.0    0.000     0
   124    0     2      9.2    0.109     0
   125    0     2      9.6    0.114     0
   126    0     1      1.1    0.001     0
   127    0     2      5.7    0.062     0
   128    0     2      7.8    0.090     0
   129    0     2      1.4    0.005     0
   130    0     2      1.0    0.000     0
   131    0     2      1.1    0.001     0
   132    0     2      1.0    0.000     0
   133    0     2      1.0    0.000     0
   134    0     2      9.1    0.108     0
   135    0     2      4.6    0.047     0
   136    0     2      2.5    0.020     0
   137    0     2      1.1    0.001     0
   138    0     2      4.2    0.043     0
   139    0     2      7.8    0.090     0
   140    0     2      5.3    0.057     0
   141    0     2     17.9    0.225     0
   142    0     2      1.2    0.002     0
   143    0     2      3.8    0.037     0
   144    0     2      3.8    0.037     0
   145    0     2      8.1    0.094     0
   146    0     2      8.2    0.095     0
   147    0     2      7.8    0.090     0
   148    0     2      3.5    0.033     0
   149    0     2      7.8    0.090     0
   150    0     2      3.9    0.039     0
   151    0     1       --       --     0
Total extinctions: 0
Generation time: 3.975 sec
 ****** Running generation 1 ******
Run done
