
 ****** Running generation 0 ******
Run done
Enum done
Population's average fitness: 7.36394 stdev: 2.99222
Best fitness: 20.48086 - size: (6, 15) - species 5 - id 5
Average adjusted fitness: 0.271
Mean genetic distance 3.161, standard deviation 0.309
Population of 300 members in 150 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2      9.9    0.413     0
     2    0     2      6.5    0.220     0
     3    0     2     11.3    0.491     0
     4    0     2      3.6    0.059     0
     5    0     2     20.5    1.000     0
     6    0     2      6.8    0.241     0
     7    0     2      9.9    0.413     0
     8    0     2      6.5    0.220     0
     9    0     2     10.0    0.416     0
    10    0     2      2.9    0.022     0
    11    0     2     10.0    0.414     0
    12    0     2     10.0    0.415     0
    13    0     2      2.8    0.016     0
    14    0     2      6.4    0.219     0
    15    0     2      8.2    0.320     0
    16    0     2      9.9    0.414     0
    17    0     2      7.7    0.290     0
    18    0     2      5.4    0.162     0
    19    0     2     10.0    0.414     0
    20    0     2      5.0    0.139     0
    21    0     2      8.1    0.310     0
    22    0     2      7.9    0.302     0
    23    0     2      9.9    0.413     0
    24    0     2      2.5    0.002     0
    25    0     2      6.5    0.222     0
    26    0     2      6.7    0.232     0
    27    0     2      9.7    0.402     0
    28    0     2     10.7    0.455     0
    29    0     2      8.9    0.354     0
    30    0     2     10.0    0.417     0
    31    0     2      8.0    0.304     0
    32    0     2      7.8    0.292     0
    33    0     2      7.4    0.273     0
    34    0     2      8.9    0.359     0
    35    0     2      2.5    0.001     0
    36    0     2      2.5    0.000     0
    37    0     2      5.3    0.153     0
    38    0     2      9.6    0.395     0
    39    0     2      2.5    0.000     0
    40    0     2      2.6    0.007     0
    41    0     2     10.0    0.417     0
    42    0     2      9.9    0.413     0
    43    0     2      3.0    0.028     0
    44    0     2      9.4    0.382     0
    45    0     2      6.8    0.237     0
    46    0     2      8.3    0.325     0
    47    0     2      9.3    0.379     0
    48    0     2      8.8    0.348     0
    49    0     2      4.3    0.101     0
    50    0     2      8.8    0.351     0
    51    0     2      7.3    0.269     0
    52    0     2     14.3    0.658     0
    53    0     2      6.4    0.219     0
    54    0     2     10.0    0.414     0
    55    0     2     10.0    0.415     0
    56    0     2     10.0    0.415     0
    57    0     2      9.3    0.380     0
    58    0     2      9.8    0.406     0
    59    0     2      9.9    0.414     0
    60    0     2     10.0    0.415     0
    61    0     2      8.7    0.343     0
    62    0     2      7.1    0.258     0
    63    0     2      6.5    0.222     0
    64    0     2      8.1    0.312     0
    65    0     2      7.6    0.283     0
    66    0     2      2.5    0.001     0
    67    0     2      9.1    0.365     0
    68    0     2      8.6    0.340     0
    69    0     2      6.4    0.220     0
    70    0     2      9.5    0.389     0
    71    0     2      2.6    0.006     0
    72    0     2      6.7    0.232     0
    73    0     2      9.9    0.413     0
    74    0     2     10.0    0.419     0
    75    0     2      4.7    0.124     0
    76    0     2     10.0    0.415     0
    77    0     2      6.5    0.224     0
    78    0     2      7.6    0.283     0
    79    0     2      2.5    0.000     0
    80    0     2      9.6    0.393     0
    81    0     2      3.0    0.029     0
    82    0     2     10.0    0.414     0
    83    0     2      3.0    0.026     0
    84    0     2      2.7    0.011     0
