
 ****** Running generation 0 ******
Run done
Enum done
Population's average fitness: 6.61892 stdev: 5.79616
Best fitness: 49.22759 - size: (6, 15) - species 123 - id 123
Average adjusted fitness: 0.108
Mean genetic distance 3.190, standard deviation 0.314
Population of 300 members in 150 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2      9.9    0.177     0
     2    0     2      9.7    0.173     0
     3    0     2      8.3    0.143     0
     4    0     2      3.3    0.039     0
     5    0     2      3.7    0.048     0
     6    0     2      9.1    0.159     0
     7    0     2     10.0    0.178     0
     8    0     2     10.0    0.178     0
     9    0     2      9.9    0.178     0
    10    0     2      9.7    0.173     0
    11    0     2      5.0    0.075     0
    12    0     2      3.7    0.046     0
    13    0     2      5.4    0.084     0
    14    0     2     10.0    0.178     0
    15    0     2      2.8    0.027     0
    16    0     2      1.6    0.002     0
    17    0     2      6.5    0.106     0
    18    0     2      8.4    0.146     0
    19    0     2     10.1    0.180     0
    20    0     2      5.0    0.074     0
    21    0     2     31.6    0.631     0
    22    0     2      1.5    0.000     0
    23    0     2      1.6    0.002     0
    24    0     2     10.0    0.178     0
    25    0     2      7.8    0.134     0
    26    0     2     10.0    0.178     0
    27    0     2      3.0    0.032     0
    28    0     2      3.9    0.052     0
    29    0     2      2.9    0.030     0
    30    0     2      6.2    0.098     0
    31    0     2      1.6    0.003     0
    32    0     2     13.9    0.260     0
    33    0     2      1.5    0.000     0
    34    0     2     10.0    0.178     0
    35    0     2      1.7    0.005     0
    36    0     2      8.1    0.139     0
    37    0     2      8.8    0.155     0
    38    0     2      6.0    0.096     0
    39    0     2      1.7    0.005     0
    40    0     2      9.9    0.177     0
    41    0     2      7.9    0.135     0
    42    0     2     10.0    0.178     0
    43    0     2      1.5    0.000     0
    44    0     2      1.5    0.001     0
    45    0     2     10.0    0.178     0
    46    0     2      1.5    0.000     0
    47    0     2      8.3    0.143     0
    48    0     2      1.5    0.000     0
    49    0     2     29.9    0.595     0
    50    0     2      2.8    0.029     0
    51    0     2      1.5    0.000     0
    52    0     2      9.9    0.177     0
    53    0     2     10.0    0.178     0
    54    0     2      4.6    0.067     0
    55    0     2      9.5    0.168     0
    56    0     2      8.0    0.136     0
    57    0     2     10.0    0.178     0
    58    0     2      1.9    0.009     0
    59    0     2      1.5    0.000     0
    60    0     2      4.4    0.061     0
    61    0     2      9.1    0.159     0
    62    0     2      3.1    0.034     0
    63    0     2      1.5    0.000     0
    64    0     2      1.8    0.006     0
    65    0     2      4.5    0.064     0
    66    0     2      1.5    0.000     0
    67    0     2      3.4    0.041     0
    68    0     2      4.4    0.062     0
    69    0     2      1.5    0.000     0
    70    0     2      4.8    0.069     0
    71    0     2      8.5    0.147     0
    72    0     2      6.7    0.109     0
    73    0     2      4.9    0.072     0
    74    0     2      1.5    0.000     0
    75    0     2      2.2    0.016     0
    76    0     2      7.1    0.117     0
    77    0     2      8.6    0.150     0
    78    0     2      1.5    0.000     0
    79    0     2      9.9    0.178     0
    80    0     2      7.5    0.128     0
    81    0     2      8.4    0.146     0
    82    0     2     10.0    0.178     0
    83    0     2      6.0    0.094     0
    84    0     2     10.0    0.178     0
    85    0     2      1.5    0.000     0
    86    0     2      9.6    0.170     0
    87    0     2      9.1    0.160     0
    88    0     2      1.5    0.000     0
    89    0     2      1.5    0.000     0
    90    0     2     10.0    0.178     0
    91    0     2     22.5    0.441     0
    92    0     2      1.6    0.002     0
    93    0     2     10.1    0.182     0
    94    0     2      1.5    0.000     0
    95    0     2      2.0    0.011     0
    96    0     2      3.1    0.035     0
    97    0     2      9.9    0.178     0
    98    0     2      7.8    0.134     0
    99    0     2      5.0    0.075     0
   100    0     2      1.5    0.001     0
   101    0     2      1.9    0.010     0
   102    0     2     12.7    0.236     0
   103    0     2      4.4    0.061     0
   104    0     2      4.9    0.073     0
   105    0     2     11.8    0.216     0
   106    0     2      4.9    0.072     0
   107    0     2      1.5    0.000     0
   108    0     2      3.2    0.036     0
   109    0     2      9.5    0.169     0
   110    0     2     10.3    0.186     0
   111    0     2      2.2    0.015     0
   112    0     2      6.2    0.100     0
   113    0     2      4.4    0.062     0
   114    0     2      8.1    0.139     0
   115    0     2      9.9    0.176     0
   116    0     2      1.5    0.000     0
   117    0     2      9.7    0.172     0
   118    0     2      5.1    0.076     0
   119    0     2     10.3    0.184     0
   120    0     2      4.9    0.073     0
   121    0     2      9.9    0.177     0
   122    0     2      1.5    0.000     0
   123    0     2     49.2    1.000     0
   124    0     2      5.1    0.075     0
   125    0     2      6.2    0.099     0
   126    0     2     10.4    0.188     0
   127    0     2      8.4    0.144     0
   128    0     2      3.3    0.040     0
   129    0     2      1.5    0.000     0
   130    0     2      1.5    0.000     0
   131    0     2      9.4    0.167     0
   132    0     2      7.6    0.129     0
   133    0     2      7.2    0.120     0
   134    0     2      4.4    0.061     0
   135    0     2      4.6    0.066     0
   136    0     2     10.1    0.181     0
   137    0     2      1.5    0.000     0
   138    0     2     10.0    0.178     0
   139    0     2      5.2    0.079     0
   140    0     2      3.6    0.045     0
   141    0     2      9.8    0.175     0
   142    0     2      4.9    0.073     0
   143    0     2      4.4    0.061     0
   144    0     2      7.9    0.136     0
   145    0     2      9.9    0.178     0
   146    0     2      1.6    0.003     0
   147    0     2      2.5    0.021     0
   148    0     2      8.0    0.137     0
   149    0     2      2.1    0.013     0
   150    0     2      8.8    0.154     0
Total extinctions: 0
Generation time: 7.398 sec
 ****** Running generation 1 ******
Run done
Enum done
Population's average fitness: 5.93596 stdev: 7.55027
Best fitness: 78.20086 - size: (6, 14) - species 49 - id 298
Average adjusted fitness: 0.065
Mean genetic distance 3.190, standard deviation 0.313
Population of 302 members in 150 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    1     2      9.9    0.116     1
     2    1     2      9.8    0.103     0
     3    1     2     31.9    0.234     0
     4    1     2      2.2    0.011     1
     5    1     2     15.0    0.115     0
     6    1     2      9.1    0.053     0
     7    1     2     10.0    0.117     0
     8    1     2      9.9    0.106     1
     9    1     2      9.9    0.116     0
    10    1     2      8.8    0.051     1
    11    1     2      3.0    0.018     1
    12    1     2      8.7    0.059     0
    13    1     2      3.5    0.025     1
    14    1     2      9.9    0.077     1
    15    1     2      1.7    0.006     1
    16    1     2      3.3    0.016     0
    17    1     2      4.4    0.043     1
    18    1     2      6.1    0.060     1
    19    1     2      8.5    0.096     1
    20    1     2     10.0    0.073     0
    21    1     2     29.2    0.235     1
    22    1     2      0.9    0.000     1
    23    1     2      1.0    0.001     1
    24    1     2      9.9    0.104     1
    25    1     2      5.2    0.053     1
    26    1     2      9.9    0.106     1
    27    1     2      2.0    0.007     1
    28    1     2      7.8    0.055     0
    29    1     2      1.8    0.006     1
    30    1     2      3.9    0.028     1
    31    1     2      1.3    0.003     1
    32    1     2     14.9    0.148     0
    33    1     2      0.9    0.000     1
    34    1     2     10.0    0.117     1
    35    1     2      9.5    0.102     0
    36    1     2     13.9    0.115     0
    37    1     2      3.3    0.030     1
    38    1     2      4.1    0.039     1
    39    1     2      9.4    0.056     0
    40    1     2      5.6    0.050     1
    41    1     2      6.3    0.061     1
    42    1     2      9.5    0.095     1
    43    1     2      4.1    0.020     0
    44    1     2      9.9    0.058     0
    45    1     2     10.2    0.118     0
    46    1     2      0.9    0.000     1
    47    1     2      7.4    0.075     1
    48    1     2      2.9    0.013     0
    49    1     3     78.2    0.609     0
    50    1     2      6.0    0.039     0
    51    1     2      3.0    0.013     0
    52    1     2     10.0    0.117     0
    53    1     2     10.0    0.117     1
    54    1     2      7.9    0.060     0
    55    1     2     13.3    0.128     0
    56    1     2      7.5    0.046     1
    57    1     2      8.6    0.085     1
    58    1     2      5.8    0.034     0
    59    1     2      0.9    0.000     1
    60    1     2      2.9    0.025     1
    61    1     2      8.1    0.085     1
    62    1     2      3.0    0.020     1
    63    1     2      5.7    0.031     0
    64    1     2      2.1    0.009     0
    65    1     2      3.1    0.028     1
    66    1     2      1.0    0.001     1
    67    1     2      2.5    0.011     1
    68    1     2      3.4    0.029     1
    69    1     2      1.1    0.001     1
    70    1     2      4.0    0.033     1
    71    1     2      6.0    0.033     1
    72    1     2      4.2    0.037     1
    73    1     2      4.4    0.038     1
    74    1     2      0.9    0.000     1
    75    1     2      1.9    0.009     1
    76    1     2     10.0    0.072     0
    77    1     2      8.9    0.082     0
    78    1     2      3.1    0.014     0
    79    1     2     10.0    0.117     0
    80    1     2      4.7    0.038     1
    81    1     2      9.5    0.089     0
    82    1     2      9.9    0.107     1
    83    1     2      4.0    0.020     1
    84    1     2      9.8    0.101     1
    85    1     2      9.8    0.057     0
    86    1     2      9.9    0.102     0
    87    1     2      9.4    0.108     0
    88    1     2      0.9    0.000     1
    89    1     2      0.9    0.000     1
