
 ****** Running generation 0 ******
Run done
Enum done
Population's average fitness: 6.84943 stdev: 3.79403
Best fitness: 30.70513 - size: (6, 15) - species 139 - id 139
Average adjusted fitness: 0.167
Mean genetic distance 3.171, standard deviation 0.314
Population of 300 members in 151 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2      6.5    0.156     0
     2    0     2     10.0    0.275     0
     3    0     2      8.5    0.224     0
     4    0     2      6.2    0.145     0
     5    0     2      2.2    0.003     0
     6    0     2      8.8    0.234     0
     7    0     2      2.1    0.001     0
     8    0     2      6.4    0.151     0
     9    0     2      2.3    0.007     0
    10    0     2     10.0    0.275     0
    11    0     2      2.1    0.000     0
    12    0     2      4.4    0.083     0
    13    0     2      9.9    0.275     0
    14    0     2      9.9    0.275     0
    15    0     2      7.5    0.190     0
    16    0     2     10.0    0.275     0
    17    0     2     10.0    0.276     0
    18    0     2      8.2    0.215     0
    19    0     2      2.1    0.000     0
    20    0     2     10.0    0.277     0
    21    0     2      9.9    0.275     0
    22    0     2     10.0    0.278     0
    23    0     2      2.6    0.020     0
    24    0     2      8.2    0.215     0
    25    0     2     10.0    0.275     0
    26    0     2      8.2    0.215     0
    27    0     2      5.5    0.120     0
    28    0     2      9.9    0.275     0
    29    0     2      2.1    0.003     0
    30    0     2      2.7    0.024     0
    31    0     2      9.3    0.253     0
    32    0     2     10.1    0.281     0
    33    0     2      2.2    0.004     0
    34    0     2      6.2    0.143     0
    35    0     2     10.0    0.278     0
    36    0     2      8.2    0.215     0
    37    0     2     12.6    0.367     0
    38    0     2      2.1    0.000     0
    39    0     2      3.2    0.039     0
    40    0     2      9.9    0.275     0
    41    0     2      4.0    0.068     0
    42    0     2      4.8    0.096     0
    43    0     2      2.2    0.005     0
    44    0     2      2.1    0.001     0
    45    0     2      9.5    0.260     0
    46    0     2     10.0    0.275     0
    47    0     2      2.1    0.000     0
    48    0     2     10.4    0.290     0
    49    0     2      6.5    0.154     0
    50    0     2      6.0    0.139     0
    51    0     2      2.5    0.015     0
    52    0     2     10.0    0.277     0
    53    0     2      2.1    0.000     0
    54    0     2     10.0    0.275     0
    55    0     2      6.0    0.138     0
    56    0     2      2.1    0.001     0
    57    0     2     10.1    0.279     0
    58    0     2      2.1    0.000     0
    59    0     2      2.1    0.000     0
    60    0     2      5.3    0.114     0
    61    0     2      6.1    0.142     0
    62    0     2      3.0    0.032     0
    63    0     2     10.3    0.286     0
    64    0     2      7.7    0.195     0
    65    0     2      6.8    0.166     0
    66    0     2      2.1    0.003     0
    67    0     2      2.1    0.000     0
    68    0     2      4.9    0.099     0
    69    0     2     10.0    0.276     0
    70    0     2      9.9    0.275     0
    71    0     2      2.1    0.003     0
    72    0     2      8.2    0.215     0
    73    0     2     10.1    0.280     0
    74    0     2      9.4    0.256     0
    75    0     2     10.1    0.282     0
    76    0     2      9.9    0.275     0
    77    0     2      6.0    0.138     0
    78    0     2      6.0    0.138     0
    79    0     2      2.1    0.000     0
    80    0     2     10.0    0.275     0
    81    0     2      3.3    0.043     0
    82    0     2     10.0    0.276     0
    83    0     2     10.1    0.279     0
    84    0     2      8.3    0.220     0
    85    0     2      2.3    0.009     0
    86    0     2      8.2    0.215     0
    87    0     2      3.9    0.064     0
    88    0     2      6.7    0.161     0
    89    0     2      2.3    0.009     0
    90    0     1      8.5    0.226     0
    91    0     2      6.1    0.141     0
    92    0     2     10.0    0.275     0
    93    0     2      7.5    0.191     0
    94    0     2      6.0    0.138     0
    95    0     2     10.0    0.275     0
    96    0     2      8.4    0.223     0
    97    0     2      7.4    0.186     0
    98    0     2      9.5    0.259     0
    99    0     2      6.1    0.141     0
   100    0     2      2.7    0.021     0
   101    0     2      2.3    0.007     0
   102    0     2      2.1    0.000     0
   103    0     2      9.7    0.267     0
   104    0     2      5.9    0.134     0
   105    0     2      9.9    0.275     0
   106    0     2     10.0    0.275     0
   107    0     2     10.9    0.310     0
   108    0     2      2.2    0.005     0
   109    0     2      2.1    0.000     0
   110    0     2     10.0    0.275     0
   111    0     2      8.3    0.217     0
