 ****** Running generation 0 ******
Runlength = 0
Population's average fitness: 7.88238 stdev: 6.97730
Best fitness: 84.70404 - size: (6, 15) - species 111 - id 111
Average adjusted fitness: 0.067
Mean genetic distance 3.178, standard deviation 0.312
Population of 302 members in 150 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2      9.9    0.092     0
     2    0     2      7.1    0.058     0
     3    0     2      6.4    0.050     0
     4    0     2      3.0    0.008     0
     5    0     2      2.6    0.004     0
     6    0     2      7.9    0.068     0
     7    0     2      3.1    0.009     0
     8    0     2      9.9    0.092     0
     9    0     2      3.8    0.017     0
    10    0     2     10.3    0.097     0
    11    0     2      8.8    0.079     0
    12    0     2      6.7    0.053     0
    13    0     2      2.7    0.005     0
    14    0     2      9.1    0.082     0
    15    0     2      2.9    0.006     0
    16    0     2     10.0    0.093     0
    17    0     2      9.8    0.091     0
    18    0     2      5.1    0.034     0
    19    0     2      9.9    0.092     0
    20    0     2      8.9    0.080     0
    21    0     2      9.2    0.083     0
    22    0     2      2.5    0.002     0
    23    0     2      2.4    0.001     0
    24    0     2      2.4    0.001     0
    25    0     2     10.0    0.092     0
    26    0     2      9.9    0.092     0
    27    0     2      9.9    0.092     0
    28    0     2      9.1    0.082     0
    29    0     2      9.6    0.089     0
    30    0     2      9.1    0.083     0
    31    0     2      7.8    0.067     0
    32    0     2      2.4    0.000     0
    33    0     2      9.9    0.092     0
    34    0     2     13.1    0.130     0
    35    0     2     10.0    0.092     0
    36    0     2      7.9    0.068     0
    37    0     2      2.5    0.002     0
    38    0     2     10.0    0.093     0
    39    0     2      4.8    0.030     0
    40    0     2     10.0    0.092     0
    41    0     2      9.8    0.091     0
    42    0     2      9.8    0.090     0
    43    0     2      9.8    0.091     0
    44    0     2     10.0    0.092     0
    45    0     2      6.6    0.052     0
    46    0     2      9.7    0.089     0
    47    0     2      4.9    0.031     0
    48    0     2      9.8    0.090     0
    49    0     2      9.5    0.087     0
    50    0     2      9.0    0.080     0
    51    0     2      9.9    0.092     0
    52    0     2     11.0    0.105     0
    53    0     2      2.5    0.002     0
    54    0     2      4.0    0.020     0
    55    0     2      8.9    0.080     0
    56    0     2     10.0    0.093     0
    57    0     2      8.9    0.080     0
    58    0     2     10.2    0.095     0
    59    0     2      4.3    0.024     0
    60    0     2      9.9    0.092     0
    61    0     2      8.7    0.077     0
    62    0     2      8.7    0.077     0
    63    0     2     10.0    0.092     0
    64    0     2     10.0    0.092     0
    65    0     2      2.7    0.004     0
    66    0     2      8.9    0.080     0
    67    0     2      8.9    0.080     0
    68    0     2      9.9    0.092     0
    69    0     2      2.5    0.002     0
    70    0     2      2.5    0.001     0
    71    0     2      2.6    0.003     0
    72    0     2      3.7    0.016     0
    73    0     2     10.4    0.098     0
    74    0     2     10.0    0.092     0
    75    0     2      2.4    0.000     0
    76    0     2      6.4    0.050     0
    77    0     2     10.0    0.092     0
    78    0     2      9.9    0.091     0
    79    0     2      2.4    0.001     0
    80    0     2     10.0    0.092     0
    81    0     2     10.0    0.092     0
    82    0     2      9.8    0.091     0
    83    0     2      4.9    0.031     0
    84    0     2     10.0    0.092     0
    85    0     2      9.5    0.087     0
    86    0     2      9.3    0.085     0
    87    0     2      9.5    0.087     0
    88    0     2      2.6    0.003     0
    89    0     2     10.1    0.094     0
    90    0     2      6.2    0.046     0
    91    0     2      7.1    0.058     0
    92    0     2     10.9    0.104     0
    93    0     2      6.6    0.052     0
    94    0     2      5.1    0.034     0
    95    0     2      2.4    0.001     0
    96    0     2      9.9    0.092     0
    97    0     2      3.1    0.009     0
    98    0     2     10.7    0.102     0
