 ****** Running generation 0 ******
Runlength = 0
Population's average fitness: 8.33744 stdev: 8.56425
Best fitness: 86.67666 - size: (6, 15) - species 33 - id 33
Average adjusted fitness: 0.076
Mean genetic distance 3.159, standard deviation 0.314
Population of 301 members in 150 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2      4.0    0.024     0
     2    0     2     10.0    0.095     0
     3    0     2     10.0    0.095     0
     4    0     2      9.9    0.095     0
     5    0     2      9.3    0.087     0
     6    0     2     51.0    0.579     0
     7    0     2     16.8    0.176     0
     8    0     2      7.9    0.071     0
     9    0     2      5.6    0.043     0
    10    0     2      9.7    0.092     0
    11    0     2      9.3    0.087     0
    12    0     2     10.0    0.095     0
    13    0     2      9.9    0.094     0
    14    0     2     10.7    0.104     0
    15    0     2      7.9    0.071     0
    16    0     2      3.5    0.018     0
    17    0     2     10.0    0.095     0
    18    0     2      5.9    0.047     0
    19    0     2      1.9    0.000     0
    20    0     2      4.2    0.027     0
    21    0     2      2.9    0.012     0
    22    0     2      7.5    0.066     0
    23    0     2      1.9    0.000     0
    24    0     2      8.8    0.082     0
    25    0     2      6.0    0.048     0
    26    0     2     10.0    0.095     0
    27    0     2      9.7    0.092     0
    28    0     2      4.5    0.030     0
    29    0     2     10.0    0.095     0
    30    0     2      9.2    0.086     0
    31    0     2      9.1    0.085     0
    32    0     2     10.0    0.095     0
    33    0     3     86.7    1.000     0
    34    0     2      6.5    0.054     0
    35    0     2      9.2    0.086     0
    36    0     2     10.0    0.095     0
    37    0     2     10.1    0.096     0
    38    0     2      2.3    0.005     0
    39    0     2      7.7    0.069     0
    40    0     2     10.5    0.102     0
    41    0     2      4.8    0.034     0
    42    0     2      3.1    0.014     0
    43    0     2     10.0    0.095     0
    44    0     2      1.9    0.000     0
    45    0     2     28.0    0.308     0
    46    0     2     10.6    0.103     0
    47    0     2      6.8    0.058     0
    48    0     2     10.0    0.095     0
    49    0     2      2.1    0.002     0
    50    0     2      9.5    0.090     0
    51    0     2     10.0    0.095     0
    52    0     2      4.2    0.027     0
    53    0     2      1.9    0.000     0
    54    0     2      1.9    0.000     0
    55    0     2      9.4    0.089     0
    56    0     2     10.0    0.095     0
    57    0     2      1.9    0.000     0
    58    0     2     10.0    0.095     0
    59    0     2      9.9    0.094     0
    60    0     2      3.0    0.013     0
    61    0     2      3.9    0.023     0
    62    0     2     10.0    0.095     0
    63    0     2      9.6    0.090     0
    64    0     2      9.6    0.090     0
    65    0     2      1.9    0.000     0
    66    0     2      4.8    0.034     0
    67    0     2     10.9    0.106     0
    68    0     2     13.5    0.136     0
    69    0     2      1.9    0.000     0
    70    0     2      9.9    0.095     0
    71    0     2      2.2    0.004     0
    72    0     2      4.3    0.028     0
    73    0     2     10.2    0.098     0
    74    0     2      7.8    0.069     0
    75    0     2      6.0    0.048     0
    76    0     2     10.0    0.095     0
    77    0     2      7.7    0.069     0
    78    0     2      6.0    0.049     0
    79    0     2     10.8    0.104     0
    80    0     2      7.8    0.069     0
    81    0     2      6.6    0.055     0
    82    0     2      9.5    0.090     0
    83    0     2      5.9    0.047     0
    84    0     2      6.1    0.049     0
    85    0     2     10.0    0.095     0
    86    0     2      5.9    0.047     0
    87    0     2      5.3    0.040     0
    88    0     2      5.8    0.046     0
    89    0     2     10.1    0.097     0
    90    0     2     39.4    0.443     0
    91    0     2      8.8    0.081     0
    92    0     2      2.1    0.002     0
    93    0     2      5.9    0.047     0
    94    0     2      5.5    0.042     0
    95    0     2     10.0    0.095     0
    96    0     2      1.9    0.000     0
    97    0     2      7.8    0.070     0
    98    0     2      6.4    0.053     0
    99    0     2     11.5    0.113     0
   100    0     2     11.5    0.113     0
   101    0     2      2.2    0.003     0
   102    0     2      1.9    0.000     0
   103    0     2      9.6    0.090     0
   104    0     2     10.7    0.103     0
   105    0     2     10.0    0.095     0
   106    0     2      6.8    0.057     0
   107    0     2      9.9    0.095     0
   108    0     2     10.0    0.095     0
   109    0     2     10.0    0.095     0
   110    0     2      2.4    0.006     0
   111    0     2      6.5    0.054     0
   112    0     2      6.6    0.055     0
   113    0     2      9.9    0.095     0
   114    0     2      9.9    0.094     0
   115    0     2      9.0    0.084     0
   116    0     2     10.4    0.100     0
   117    0     2      3.5    0.019     0
   118    0     2      9.1    0.085     0
   119    0     2      1.9    0.000     0
   120    0     2      1.9    0.000     0
   121    0     2     10.0    0.095     0
   122    0     2      7.1    0.061     0
   123    0     2      7.7    0.069     0
   124    0     2     10.0    0.095     0
   125    0     2      1.9    0.000     0
   126    0     2      6.2    0.050     0
   127    0     2      7.9    0.070     0
   128    0     2      9.4    0.089     0
   129    0     2      6.4    0.053     0
   130    0     2     10.0    0.095     0
   131    0     2      3.3    0.016     0
   132    0     2     10.0    0.095     0
   133    0     2     10.0    0.095     0
   134    0     2      2.1    0.003     0
   135    0     2      6.4    0.053     0
   136    0     2      7.7    0.068     0
   137    0     2      2.0    0.001     0
   138    0     2      9.9    0.094     0
   139    0     2      7.6    0.067     0
   140    0     2      6.1    0.049     0
   141    0     2      1.9    0.000     0
   142    0     2     10.0    0.095     0
   143    0     2      1.9    0.000     0
   144    0     2      8.0    0.071     0
   145    0     2      3.7    0.022     0
   146    0     2      2.6    0.008     0
   147    0     2      3.7    0.021     0
   148    0     2      5.9    0.047     0
   149    0     2      9.8    0.093     0
   150    0     2      5.9    0.047     0
Total extinctions: 0
Generation time: 3.460 sec
 ****** Running generation 1 ******
Runlength = 3.0231144428253174
Population's average fitness: 6.41686 stdev: 7.26196
Best fitness: 89.91446 - size: (6, 15) - species 50 - id 50
Average adjusted fitness: 0.059
Mean genetic distance 3.159, standard deviation 0.314
Population of 301 members in 150 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    1     2      9.5    0.054     0
     2    1     2     10.0    0.097     0
     3    1     2     10.0    0.073     0
     4    1     2      9.3    0.079     1
     5    1     2      8.5    0.042     1
     6    1     2     35.1    0.362     1
     7    1     2      5.4    0.040     1
     8    1     2      3.8    0.015     1
     9    1     2      7.2    0.050     0
    10    1     2      5.3    0.037     1
    11    1     2     12.5    0.113     0
    12    1     2     10.0    0.100     0
    13    1     2     10.0    0.099     0
    14    1     2     15.7    0.142     0
    15    1     2      8.2    0.055     0
    16    1     2      2.1    0.008     1
    17    1     2      9.9    0.088     1
    18    1     2      4.3    0.034     1
    19    1     2      3.5    0.013     0
    20    1     2      2.3    0.013     1
    21    1     2      4.8    0.021     0
    22    1     2     10.1    0.067     0
    23    1     2      7.5    0.036     0
    24    1     2      4.1    0.017     1
    25    1     2      5.2    0.042     1
    26    1     2      8.8    0.085     1
    27    1     2      9.5    0.092     1
    28    1     2     10.0    0.073     0
    29    1     2      9.9    0.098     1
    30    1     2     12.4    0.113     0
    31    1     2     10.8    0.084     0
