 ****** Running generation 0 ******
Runlength = 0
Population's average fitness: 6.53704 stdev: 4.40368
Best fitness: 37.71979 - size: (6, 15) - species 110 - id 110
Average adjusted fitness: 0.147
Mean genetic distance 3.187, standard deviation 0.309
Population of 300 members in 150 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2     10.0    0.242     0
     2    0     2      1.3    0.004     0
     3    0     2      1.2    0.000     0
     4    0     2      8.8    0.210     0
     5    0     2     10.1    0.243     0
     6    0     2      7.3    0.168     0
     7    0     2      6.2    0.138     0
     8    0     2      6.6    0.149     0
     9    0     2      7.5    0.174     0
    10    0     2      9.9    0.239     0
    11    0     2     10.0    0.240     0
    12    0     2     10.0    0.240     0
    13    0     2      6.2    0.139     0
    14    0     2      5.8    0.127     0
    15    0     2      8.6    0.202     0
    16    0     2      7.7    0.180     0
    17    0     2      1.7    0.013     0
    18    0     2     10.0    0.240     0
    19    0     2      7.1    0.162     0
    20    0     2      7.1    0.162     0
    21    0     2      9.7    0.232     0
    22    0     2      9.9    0.239     0
    23    0     2      1.2    0.000     0
    24    0     2      1.2    0.001     0
    25    0     2     10.4    0.252     0
    26    0     2     13.0    0.323     0
    27    0     2      1.2    0.001     0
    28    0     2      8.3    0.196     0
    29    0     2      1.2    0.000     0
    30    0     2     10.0    0.240     0
    31    0     2      1.4    0.006     0
    32    0     2      2.6    0.039     0
    33    0     2     10.1    0.243     0
    34    0     2     10.3    0.250     0
    35    0     2      7.1    0.163     0
    36    0     2      2.7    0.043     0
    37    0     2      5.8    0.127     0
    38    0     2      1.2    0.001     0
    39    0     2      3.2    0.056     0
    40    0     2     10.0    0.240     0
    41    0     2     11.3    0.277     0
    42    0     2      1.2    0.002     0
    43    0     2     10.5    0.255     0
    44    0     2     10.3    0.249     0
    45    0     2      4.1    0.081     0
    46    0     2      5.5    0.118     0
    47    0     2      5.7    0.123     0
    48    0     2      3.1    0.053     0
    49    0     2      8.4    0.198     0
    50    0     2      3.8    0.072     0
    51    0     2     10.0    0.240     0
    52    0     2      9.9    0.240     0
    53    0     2      4.1    0.080     0
    54    0     2      5.7    0.124     0
    55    0     2     10.1    0.245     0
    56    0     2      3.5    0.064     0
    57    0     2      1.4    0.006     0
    58    0     2      5.6    0.120     0
    59    0     2      1.2    0.000     0
    60    0     2      1.2    0.000     0
    61    0     2      6.9    0.155     0
    62    0     2      8.6    0.203     0
    63    0     2      1.2    0.000     0
    64    0     2      3.0    0.050     0
    65    0     2      2.6    0.039     0
    66    0     2      1.3    0.003     0
    67    0     2     10.0    0.241     0
    68    0     2      1.2    0.000     0
    69    0     2      1.3    0.005     0
    70    0     2     12.4    0.308     0
    71    0     2      9.8    0.235     0
    72    0     2      7.0    0.159     0
    73    0     2      4.8    0.098     0
    74    0     2     10.1    0.243     0
    75    0     2      1.2    0.000     0
    76    0     2      6.4    0.144     0
    77    0     2     10.1    0.245     0
    78    0     2     10.0    0.240     0
    79    0     2      6.3    0.141     0
    80    0     2     10.2    0.246     0
    81    0     2     10.0    0.243     0
    82    0     2      1.2    0.001     0
    83    0     2     10.0    0.242     0
    84    0     2      2.8    0.044     0
    85    0     2      4.7    0.097     0
    86    0     2      1.2    0.001     0
    87    0     2      9.5    0.229     0
    88    0     2      3.6    0.066     0
    89    0     2      9.7    0.234     0
    90    0     2      1.2    0.000     0
    91    0     2      4.9    0.103     0
    92    0     2     10.0    0.240     0
    93    0     2      1.2    0.001     0
    94    0     2      8.7    0.207     0
    95    0     2      4.1    0.081     0
    96    0     2      4.8    0.099     0
    97    0     2      4.6    0.095     0
    98    0     2      1.2    0.001     0
    99    0     2      5.5    0.120     0
   100    0     2      1.3    0.002     0
   101    0     2     10.1    0.243     0
   102    0     2     10.0    0.240     0
   103    0     2      3.3    0.059     0
   104    0     2     10.0    0.241     0
   105    0     2      3.9    0.074     0
   106    0     2      1.2    0.000     0
   107    0     2      7.4    0.170     0
   108    0     2      9.3    0.222     0
   109    0     2      9.3    0.222     0
   110    0     2     37.7    1.000     0
   111    0     2     10.0    0.240     0
   112    0     2     10.0    0.241     0
   113    0     2     10.4    0.251     0
   114    0     2      2.6    0.039     0
   115    0     2      1.2    0.000     0
